,0
0,-923.2124212107369
1,-1478.579780466531
2,-1306.763645817904
3,-729.5356492256265
4,-666.1616812901692
5,-1003.7469857244432
6,-495.1089005601708
7,-306.4870321623792
8,-902.7687985276598
9,-328.3599712923302
10,-430.46068382932424
11,-264.11250341381117
12,-321.744768893589
13,-581.4532774244775
14,-571.1696536913984
15,-338.0566664792173
16,-620.7146915004085
17,-844.1054984246595
18,-1238.2599612284762
19,-2283.392320476815
20,-393.93835776393115
21,-1237.3513878589195
22,-323.08582042553786
23,-590.6265777269691
24,-779.6549312677788
25,-1879.5910834696328
26,-1542.0345307563343
27,-869.3765162482905
28,-1362.8063416530363
29,-1004.8392886113737
30,-186.9461607597625
31,-1428.3629779292826
32,-252.1182840805555
33,-1585.1769662732274
34,-1762.0562533531593
35,-1556.158895034523
36,-1716.0542175272349
37,-270.1185867809416
38,-265.3803005247398
39,-1868.2853395239827
40,-269.64565620213546
41,-1019.8160162265002
42,-447.2379437766873
43,-652.8662614858092
44,-981.0914006015563
45,-1112.1856707578293
46,-936.785731676558
47,-468.24525025824676
48,-2686.2267167668538
49,-1794.052394212662
50,-36410.35756598089
51,-55907.432422257305
52,-68365.90921101977
53,-63845.0835513737
54,-57971.974799375595
55,-60752.663975107105
56,-57499.68633846379
57,-53382.21480925928
58,-41585.58348085772
59,-26762.251461960404
60,-34954.5326591904
61,-24454.252240660888
62,-8598.814978845094
63,-528.9230626516884
64,-614.0562297861479
65,-570.4065363975799
66,-637.1290714009556
67,-963.2541411285365
68,-450.9945085001202
69,-865.8264734806046
70,-911.0217425210278
71,-29759.89803823948
72,-33047.14308537285
73,-8129.458766408352
74,-34816.868841749805
75,-40655.46911260027
76,-48348.3515123926
77,-47372.17282206568
78,-3830.4828721730423
79,-58117.65401484856
80,-51832.756105729626
81,-68247.96233455797
82,-63845.8746051785
83,-57298.28491562007
84,-67453.21131267874
85,-39489.639059024135
86,-65111.60120400732
87,-51837.3760366902
88,-32696.05888954593
89,-36562.75558367113
90,-51335.05672302531
91,-50404.573548360284
92,-47623.860833128434
93,-42845.88312848612
94,-33886.03617368088
95,-35652.166151287965
96,-34270.14768737939
97,-35959.380066272905
98,-42491.88972452428
99,-36491.486922044656
100,-990.8702892096264
101,-692.5733467827879
102,-4408.434135166364
103,-1586.8337934839628
104,-20751.34262285939
105,-1269.606678735916
106,-817.1574243339189
107,-1389.504056131159
108,-963.7455240129992
109,-11354.72259217648
110,-1634.4514250473444
111,-688.6559504867434
112,-1040.5016807967818
113,-1920.81220718558
114,-338.31898483983383
115,-230.76911500022584
116,-217.88255627399036
117,-51935.15458926356
118,-216.3865073688089
119,-250.2136154414252
120,-11361.87015385742
121,-427.4108455170056
122,-427.690069855071
123,-15708.844670859391
124,-234.21400018217318
125,-235.90032435637855
126,-6382.688277758426
127,-323.8269846574636
128,-21052.151488929012
129,-1409.6425645066774
130,-45705.332154745054
131,-61799.03493995025
