,0
0,-691.9835174692017
1,-513.1419346197315
2,-232.68246005235335
3,-1017.0064343989523
4,-96.99542130474185
5,-1280.9848111628444
6,-785.9929452540988
7,-340.4753704401879
8,-180.57917273091218
9,-454.7352201230228
10,-783.6997346141719
11,-1131.9699118801473
12,-2036.614701319806
13,-460.99208510408266
14,-3463.2159641460066
15,-1235.379723985136
16,-1094.3125654329508
17,-1364.0976019956054
18,-639.9955062521195
19,-1144.7226258786961
20,-1574.8854897762901
21,-1859.2160817342499
22,-105.62233858620606
23,-1038.9857091745566
24,-347.48616072693915
25,-115.63003223155162
26,-697.4281093748182
27,-319.683813962424
28,-2065.5650371496026
29,-395.33054140194236
30,-998.8064223870178
31,-884.4249782480787
32,-1883.4594781717
33,-154.64148068026591
34,-95.82049645240215
35,-1274.8850187184278
36,-726.7157147174302
37,-420.72366314407975
38,-687.2917182818446
39,-556.4950193938424
40,-725.5002150832456
41,-193.88213264307416
42,-386.1556770841534
43,-303.4223672963733
44,-266.57156210896767
45,-3117.1881127658517
46,-385.74832251725377
47,-234.90678229756776
48,-678.014254201573
49,-762.7597164532783
50,-571.6244756724101
51,-45709.57381895784
52,-69254.60335172091
53,-49025.97471514248
54,-67.65657572686709
55,-171.14943120918753
56,-245.57853462462168
57,-241.8564619782819
58,-171.86373922115206
59,-266.5352156308343
60,-77.87653289977136
61,-1074.7797190947406
62,-127.97040573117712
63,-1355.5483680139168
64,-332.66237789740626
65,-339.1919609290021
66,-455.2110607651035
67,-67.58950935419806
68,-147.2301350456468
69,-96.43430953638943
70,-1066.4765406967554
71,-753.0546059124761
72,-333.6053252235588
73,-930.4291378827518
74,-78.67655514718513
75,-873.2356526752484
76,-51.346865809741594
77,-182.0204453883066
78,-277.36342868582057
79,-767.2537934042648
80,-129.3507022765856
81,-1147.2471481467855
82,-274.65710886550715
83,-2398.6221828122784
84,-50.92083400630123
85,-545.927344643615
86,-507.37744969688436
87,-840.3742571847024
88,-49.38442739687717
89,-333.79449021707546
90,-369.70610281760827
91,-618.492685164254
92,-162.34618265589253
93,-496.6223186575543
94,-930.8180542661997
95,-136.98533256081672
96,-69.91139999385535
97,-394.75747484065636
98,-642.5508428506636
99,-330.0345786111975
100,-216.62165848762777
101,-650.1590213791981
102,-754.77845340665
103,-456.70415189491894
104,-95.33807055191988
105,-443.2613700784224
106,-181.75704405335907
107,-247.53363209452687
108,-124.77852906046388
109,-766.9107183592214
110,-171.75320655912293
111,-105.18879214111358
112,-264.60462222736373
113,-1200.9324865504814
114,-459.25401585757544
115,-493.1609529423849
116,-105.5870936520092
117,-782.1335648719103
118,-305.009707364228
119,-353.4626486941571
120,-303.5333293865936
121,-648.8789022196294
122,-300.89265767379914
123,-587.3576492400116
124,-1688.1486757804778
125,-1041.512473586526
126,-757.599748478788
127,-609.4279876080222
128,-1105.7441815922957
129,-805.7115801622083
130,-531.1270952667148
131,-627.100398942106
132,-531.7427728945117
133,-655.2500935034989
134,-292.15491688879393
135,-1221.1625718013775
136,-833.112113538232
137,-532.531239452808
138,-374.44655036221263
139,-504.1358615659013
140,-547.7625681962634
141,-1720.2576132394029
142,-341.3794205216913
143,-830.114271986281
144,-292.95112237231604
145,-642.1413773818878
146,-987.7452716694061
147,-221.903752817681
148,-836.8994909408741
149,-187.73353788226925
150,-520.197850338252
151,-723.2075062065684
152,-517.4777429795562
153,-1153.3221420924012
154,-239.63823988561626
155,-1371.239341534596
156,-886.2467607703534
157,-397.21592951619175
158,-696.9716483911398
159,-1157.7353953684626
160,-589.4995737106085
161,-684.8380585013891
162,-2597.8502108582716
163,-206.7443976764391
