,0
0,-2107.334920111566
1,-365.05459115527424
2,-193.22554042630384
3,-500.2085390758939
4,-1009.3085066429499
5,-946.5795333054416
6,-2202.1556129590576
7,-668.713992086789
8,-757.8467794397243
9,-201.86258754138836
10,-327.22509479476423
11,-1563.1131698264915
12,-796.1407102987348
13,-255.66705296510094
14,-3954.332961671499
15,-935.387335870088
16,-1212.4458549123067
17,-364.90803493525914
18,-458.5655838186801
19,-760.9897904074362
20,-684.4822985452031
21,-148.5521073947158
22,-763.8188758682413
23,-680.0884349208555
24,-181.98218663420832
25,-1103.9897755220761
26,-349.7038510689298
27,-332.84290047020215
28,-819.0045353766556
29,-495.31977447419996
30,-1228.541897672867
31,-369.57051026644524
32,-497.84464311458333
33,-379.2152525865177
34,-1543.5383283915348
35,-155.39337276861204
36,-223.81728340068113
37,-1844.768485054587
38,-682.5729762757553
39,-712.5106134965066
40,-55.25561959828717
41,-203.02467796918586
42,-575.8089830254219
43,-2826.459566686013
44,-3900.403652908709
45,-45.308880864579095
46,-2496.8172189529105
47,-406.59349153986767
48,-136.82266500069773
49,-1306.9674634929206
50,-15687.469274326846
51,-13306.932061874379
52,-56869.82205319432
53,-60483.28761865506
54,-62027.18183555001
55,-35168.00027635459
56,-50250.01540906356
57,-41978.44518651475
58,-64973.2612259373
59,-53337.427503703424
60,-50008.396108937646
61,-2282.6073066832737
62,-66738.66246329258
63,-33288.60688266474
64,-2193.5372170937917
65,-207.96535889356142
66,-623.6115250434189
67,-151.0679008877252
68,-255.44572140665213
69,-607.3789424033209
70,-329.51773395670085
71,-203.08552052004546
72,-1301.0182950286026
73,-662.8041754981986
74,-393.7562457759429
75,-578.2754401063047
76,-159.62423668197943
77,-1072.808644926261
78,-288.09508633404084
79,-215.77893857171117
80,-151.31095760025084
81,-257.7774056335317
82,-797.3981584709911
83,-184.7603349132558
84,-269.61562269667
85,-273.0605764833472
86,-310.463347027696
87,-59.72869032330975
88,-250.66693157213285
89,-500.27008447523247
90,-390.221714943155
91,-417.2654842979714
92,-81.34032787429533
93,-327.46518850957636
94,-100.14966648112137
95,-580.2149906873499
96,-575.7138477595624
97,-1429.3876225162908
98,-690.3880177419611
99,-78.68201312383371
100,-124.75237186917184
101,-549.2979359532412
102,-502.80332947327076
103,-973.3470025572941
104,-417.6911244711431
105,-1126.48193181858
106,-375.8190869250891
107,-596.6033363135775
108,-394.06910758283084
109,-423.9863137085796
110,-1951.9784931373035
111,-1241.7340844368382
112,-1509.890337103905
113,-924.3672732137595
114,-1575.7631769211644
115,-1056.976917460049
116,-324.3011902359642
117,-421.0081135162445
118,-677.3965058940573
119,-964.2377564444503
120,-646.6238809253391
121,-707.1470938484096
122,-446.55624059590457
123,-334.0284267728534
124,-674.1329610341298
125,-470.575265660218
126,-361.2803460264738
127,-364.29121761742033
128,-1170.7606938554486
129,-757.9424298588041
130,-443.61037609553733
131,-640.2572674872544
132,-1079.5441819060816
133,-744.0001027364181
134,-740.87484984054
135,-757.0399019965319
136,-437.1494132025838
137,-619.9904826662681
138,-986.6964732907114
139,-963.8765229171851
140,-1558.0894837802514
141,-603.3096511123856
142,-502.39275082631934
143,-1295.795652870451
144,-783.1232866742862
145,-485.133414862321
146,-1258.9224723220577
147,-388.80942713942886
148,-226.52416161663305
149,-1792.0350758672548
150,-717.8393197321773
151,-335.1704467197061
152,-524.3054498146599
153,-478.22377500393435
154,-535.2548759460498
155,-319.44548407631817
156,-1396.0904633701273
157,-425.9563084385501
158,-1709.283682050424
159,-1462.3233621284312
160,-857.8568195833485
161,-845.5185754192283
162,-960.5637046867009
163,-581.2051066587846
164,-200.38005589509615
165,-2497.979142499661
166,-195.30579325063968
167,-596.8802458418993
168,-380.52564855830843
169,-254.10649216166559
170,-97.6266749575033
171,-79.85368781204274
172,-231.19962225072737
173,-50.23870097175456
174,-470.01182495094264
175,-206.9821354566718
176,-231.27048252374806
177,-259.81426144472056
178,-221.35104046548418
179,-281.5135125403017
180,-378.4985564763739
181,-273.83914163872913
182,-750.9419430177512
183,-291.2855661234035
184,-451.38189374060516
185,-157.8176261297836
186,-491.4372629687102
187,-198.98745305713032
188,-587.0829857393076
189,-894.8797143531708
190,-118.61504517138562
191,-386.7604300871084
192,-518.0510748532565
193,-565.7313769083007
194,-327.73977556159616
195,-77.28972050452629
196,-68.52260575407594
197,-721.2633097973692
198,-586.7511677601284
199,-133.66428942343785
200,-276.9608686522631
201,-179.92590133938296
202,-266.58840271815365
203,-280.8129848390201
204,-322.57653316305266
205,-177.74136851824068
206,-277.86629504824714
207,-462.96112434687063
208,-27.767559831279407
209,-123.47688615064982
210,-125.11347741571426
211,-165.56023594943744
212,-91.11629475902288
213,-552.327285600946
214,-135.42065622426998
215,-105.3712449734862
216,-180.12652328307382
217,-178.2384057043737
218,-30.376180899460493
219,-121.32805300658131
220,-540.6956414804506
221,-101.84105431267456
222,-90.0804110442869
223,-325.4406526100298
224,-171.22528871268923
225,-52.741332545779
226,-101.79406490002174
227,-492.5137686921155
228,-606.010020937912
229,-38.36955466687792
230,-508.8800375321873
231,-125.2436394330754
232,-58.69092402632264
233,-544.395864977842
234,-686.3892847388568
235,-128.18501632316895
236,-169.72251154510172
237,-214.8800511171563
238,-696.4369183403066
239,-112.06985666065249
240,-813.9168725887018
241,-160.73284680861073
242,-131.9776390307553
243,-250.8347888219775
244,-110.9907284840898
245,-371.4427670051043
246,-598.7865120246214
247,-719.9510145310112
248,-70.76394730878877
249,-70.82867676930346
250,-74.18289942794287
251,-248.5107315255883
252,-1856.089802375398
253,-83.65624401445515
254,-213.6520383174932
255,-132.89427478380244
256,-814.607068736117
257,-191.98676158466665
258,-222.85938556149716
259,-324.8411106377737
260,-208.37483092335566
261,-285.18731659800056
262,-119.99470743357412
263,-118.83152837368874
264,-379.8840666380523
265,-450.6231159050436
266,-105.0718902656965
267,-219.21947037504862
268,-78.3137071834426
269,-279.4643186067932
270,-102.59374009247509
271,-125.38326605970033
272,-136.60752367107838
273,-151.26235864492492
274,-204.24227718366308
275,-124.15950012822746
276,-133.79382450867757
277,-48.43646164971388
278,-133.998883622763
279,-91.5292538153272
280,-192.08922518922887
281,-584.8380617168152
282,-231.86069015845504
283,-70.09212254962112
284,-704.9328880520635
285,-373.52372930864396
286,-491.56967754202356
287,-122.01573948516186
288,-148.16697394541484
289,-182.65968620893767
290,-181.58229137715904
291,-61.18056228303029
292,-85.42042797314566
293,-131.59977034191326
294,-101.97442305553153
295,-187.4597720257148
296,-301.2802736317909
297,-430.5235937507239
298,-163.39638631539958
299,-31.81571707565204
300,-35.78034067870031
301,-200.79422514217464
302,-126.43546881534971
303,-137.46372079555374
304,-56.64228791374104
305,-345.5986988475147
306,-228.31982795221938
307,-165.19687830370248
308,-245.87159769867293
309,-444.9907905628266
310,-89.69584750535924
311,-139.99801498883448
312,-326.00048140220497
313,-81.69011759975324
314,-139.4614265651974
315,-199.46195863544824
316,-35.05950275322152
317,-383.00805661962994
318,-1425.2910712618727
319,-120.84556231552014
320,-96.81643290033448
321,-647.1879452111505
322,-738.3686627714907
323,-157.2753084451167
324,-900.1972598371558
325,-69.9147920796662
326,-368.0366414515305
327,-126.31037935297351
328,-429.0531334463414
329,-150.39205025237547
330,-884.4871649621612
331,-214.25460359149753
332,-478.63898814895344
333,-1550.9012126733714
334,-220.8809703494845
335,-167.00067600472954
336,-188.3597813391556
337,-599.6328608542423
338,-394.4820495271558
339,-187.24329578275527
340,-541.2150494440527
341,-1586.6936777717915
342,-1175.663428479993
343,-616.8428231838597
344,-159.47459707605645
345,-1178.2769460558739
346,-204.64389279978892
347,-389.748269560135
348,-381.8026483721444
349,-143.85982596889588
350,-220.75175888415197
351,-607.6393322558183
352,-574.3299467466644
353,-660.9182996292783
354,-990.6342794801601
355,-200.60506896867759
356,-642.1043522607195
357,-1154.7028290346952
358,-344.93478468706974
359,-251.6992539298209
360,-271.2377176616207
361,-836.7176095996838
362,-1125.8298098570926
363,-1041.3786856751021
364,-521.2437253681719
365,-1617.9693877592654
366,-349.0013310280559
367,-175.16002720217315
368,-1868.7903985360495
369,-80.62777674383366
370,-208.57835502193745
371,-569.6023827841312
372,-150.3819896074737
373,-198.8867463139092
374,-118.64777153531134
375,-712.8011570948738
376,-343.9368826970085
377,-382.2123934940857
378,-410.6467557638191
379,-664.5869997584596
380,-453.2625877734333
381,-133.22153563272843
382,-47.880558913531615
383,-30.415532811832726
384,-795.6397049395362
385,-739.6338192436831
386,-214.0182007183033
387,-513.2649863825893
388,-688.4826347690467
389,-89.1652431523891
390,-217.47888925408813
391,-483.4533900618134
392,-87.70701994278005
393,-158.30487946480352
394,-993.77209682177
395,-87.67293951713765
396,-184.86594172706998
397,-70.50860684417188
398,-729.1104316027476
399,-227.29554169248368
400,-135.13901358697166
401,-172.61868024547942
402,-594.6224110106152
403,-63.090745871107075
404,-258.7623102676982
405,-853.6027325844558
406,-65.24440630977301
407,-64.81675353224955
408,-148.98114923067445
409,-292.04079833717924
410,-80.29676625382255
411,-548.0942933874112
412,-447.08447174217406
413,-214.78794698792836
414,-44.27588156465602
415,-183.89583904381476
416,-841.6473914121896
417,-255.0768021876031
418,-1036.7437924936332
419,-160.18474335048677
420,-155.87166587035676
421,-438.1448397679944
422,-54.32350151798513
423,-271.2828081098483
424,-308.1154581182101
425,-25.675380910011736
426,-190.664929001069
427,-152.96623356986245
428,-361.3851637545009
429,-630.8335810883399
430,-246.45747760325636
431,-337.23646852096545
432,-229.25921175485655
433,-545.4050553811024
434,-381.58403590942527
435,-44.468505280780896
436,-107.24958070984411
437,-231.8541483396376
438,-117.2800796555914
439,-143.5473663331434
440,-104.50043273800165
441,-317.5130424141061
442,-149.9477171035765
443,-392.79938634072596
444,-404.3684140619515
445,-261.6128555555739
446,-32.24744461723237
447,-423.7953587504435
448,-78.17363790634042
449,-336.2414454834684
450,-374.34153844911896
451,-396.5028471117467
452,-183.9491922017918
453,-33.70909755049986
454,-114.19524248355212
455,-83.72824950515314
456,-136.75976415206077
457,-300.84701283161087
458,-1090.756764460834
459,-629.2547194688796
460,-560.6802176334584
461,-233.3593920862527
462,-155.5891737209331
463,-57.56150455463691
464,-112.9414560391474
465,-528.7446964218186
466,-290.9840615951524
467,-86.12696705093649
468,-78.24687421460933
469,-835.7500924967597
470,-382.3915619729434
471,-257.8293967170272
472,-109.19143719441821
473,-437.0894180909314
474,-500.8568484939135
475,-164.3234808819657
476,-255.20533368397474
477,-126.79782621516446
478,-284.7594877377211
479,-468.30968474277836
480,-508.872932511363
481,-784.263428485548
482,-314.959959459154
483,-355.75285201496797
484,-179.57076182505693
485,-83.2287555971829
486,-126.37372581678339
487,-423.35597827613964
488,-433.0778589277344
489,-530.3784784605815
490,-195.387212793932
491,-17.400577719927185
492,-204.70727008588386
493,-207.16979063146894
494,-298.21116410451356
495,-334.2314958345423
496,-128.14003614737362
497,-141.3859663275651
498,-466.3991481972156
499,-360.6595528656943
500,-145.84336863249416
501,-247.21086541678395
502,-336.2720529012502
503,-330.570625930199
504,-161.59304336970766
505,-30.336440275225257
506,-117.79896403907844
507,-40.43218630291934
508,-409.84370514653455
509,-144.5152080566232
510,-314.89743091844406
511,-84.02495530572118
512,-54.20863153933588
513,-146.09161144547795
514,-365.4806730976365
515,-103.60714969442026
516,-274.36285971107145
517,-41.221410194503626
518,-42.98810252615243
519,-608.8550625873897
520,-309.6565008948519
521,-211.21858257654372
522,-114.9426737809626
523,-291.63702914415774
524,-288.5859490824734
525,-311.1564891963968
526,-213.0236612119909
527,-422.82042635629944
528,-365.4122693203963
529,-254.16369143827237
530,-90.98392486009311
531,-406.2701350046424
532,-227.39376340796616
533,-138.72795176562545
