,0
0,-501.25213418803804
1,-938.2089894972186
2,-546.0782895279824
3,-680.3452879853489
4,-405.3988519258831
5,-322.21594059105524
6,-3693.663931165155
7,-242.09986818777108
8,-626.7128522883802
9,-174.05332165333246
10,-1073.166587503088
11,-2579.7937599417855
12,-171.3650967447999
13,-1684.775970609871
14,-721.0483699269021
15,-635.666029963777
16,-356.69802023750884
17,-194.54012346201208
18,-171.21723549424996
19,-1040.120478889663
20,-223.38932077647434
21,-333.44053858671145
22,-822.4184006184921
23,-1374.7743045335187
24,-726.2357577502123
25,-736.9132723032449
26,-381.6247752776461
27,-422.62434278707093
28,-580.1507266779698
29,-819.1792674814515
30,-298.925154444618
31,-2214.4685574379046
32,-170.9422457683927
33,-810.4263376844272
34,-1642.97615391624
35,-1236.0731960161568
36,-1047.0879459623234
37,-1118.5035993174802
38,-327.22239887325605
39,-1568.2391765749437
40,-993.8247933546893
41,-1230.4957566180854
42,-268.1860486473234
43,-1540.2675623193259
44,-1449.451427089827
45,-341.41672044244604
46,-370.4253977240601
47,-502.69856551588833
48,-863.3740589819756
49,-3044.7259125532946
50,-834.6949945370321
51,-1739.2292479936032
52,-444.62263396258925
53,-633.8024399789297
54,-730.4725838785473
55,-1177.9729259513558
56,-4720.178474164944
57,-2626.511827521999
58,-879.4272094960498
59,-4679.570600390693
60,-1737.656055934634
61,-4205.063875817397
62,-1467.5697908183806
63,-4603.5122568228135
64,-4061.8836509517078
65,-1713.3840592617773
66,-2376.61779822098
67,-5659.388738184657
68,-1655.1432649427356
69,-1979.1787398558063
70,-1183.0970768398815
71,-3665.6538340575626
72,-2278.913078726868
73,-3485.5013291300615
74,-772.8504182969739
75,-709.5636475180775
76,-895.0552228258305
77,-744.7004816783237
78,-2722.3750139846534
79,-694.998897144618
80,-1080.8055981763284
81,-1235.1709955934648
82,-2671.237716956113
83,-2519.466783633037
84,-1251.7504043251643
85,-2123.6708625642855
86,-1529.6653966403576
87,-365.2487612498656
88,-872.6628537346868
89,-708.8185867049897
90,-1512.8255476489344
91,-3547.081959578837
92,-384.6163416321082
93,-701.3854228259701
94,-1674.7739752239204
95,-636.8316360581639
96,-3092.4616009960373
97,-129.83152955153133
98,-1141.800361074337
99,-2213.1392565758706
100,-2032.1200588851702
101,-649.8214898200587
102,-307.84665228099396
103,-1040.476598472087
104,-1247.787521339595
105,-305.2415321580494
106,-649.4700513651567
107,-1347.0067412970393
108,-1232.8362012707846
109,-1715.7825327582798
110,-1320.614061265258
111,-1687.1176973416614
112,-329.8154163200083
113,-373.9222100585852
114,-1179.2042134535984
115,-686.5731489440598
116,-98.36595830088734
117,-1735.1363595597036
118,-710.4142514748363
119,-507.75198166290556
120,-653.4567661459137
121,-541.149303873907
122,-732.3161388563997
123,-292.575197700732
124,-806.6501912581492
125,-324.24280004794207
126,-776.5669531148671
127,-502.90921297548107
128,-191.6575689504125
129,-2667.070334108037
130,-613.9914016625014
131,-1619.1133630167174
132,-217.80577975164374
133,-365.73328938093266
134,-621.1958687058265
135,-1119.7487233174204
136,-1343.9869750965447
137,-390.22055598179185
138,-307.9081404352312
139,-216.43401514226133
140,-926.2005717364868
141,-1014.0219055050947
142,-1685.2384458942877
143,-1240.6276444844382
144,-1594.2620107600524
145,-243.12003703972326
146,-403.8773515456097
147,-267.9466337629625
148,-370.3044320420236
149,-933.2304762100321
150,-620.9986554143213
151,-1186.2771277591164
152,-2344.8553548441505
153,-1806.7437888784261
154,-165.8136395081818
155,-1623.6575624275472
156,-1291.8106675106987
157,-1001.5517767955857
158,-180.84846745356518
159,-623.2985152120091
160,-480.7859595178838
161,-897.1794828344387
162,-159.12906382360637
163,-1008.367814397576
164,-1080.5532160665239
165,-263.65823070665874
166,-2019.2663335918373
167,-1221.8387550032644
168,-1236.8777597168073
169,-722.5237601905412
170,-331.01072559562135
171,-1110.9717952309206
172,-113.90798715042277
173,-536.8639525036766
174,-480.34649984627197
175,-448.33327331555984
176,-272.8281137799751
177,-705.5266315779668
178,-892.943118284508
179,-840.2896071799353
180,-340.9735539689083
181,-574.8578702224595
182,-1098.6134931812308
183,-172.1709359782624
184,-684.93625568218
185,-229.70023974905735
186,-452.6154759080314
187,-1973.7313697988286
188,-331.4833551652172
189,-1110.9009790224325
190,-296.21636870720437
191,-477.79845802136856
192,-934.8921608882861
193,-220.67077588981135
194,-1517.1393133388458
195,-310.32649970108275
196,-266.28163601789885
197,-1183.5110167430314
198,-1100.945670920849
199,-392.84933684162814
200,-1954.286956912386
201,-808.6140238479429
202,-3897.746959807713
203,-192.39699283523078
204,-495.5446559402476
205,-576.0941804876431
206,-1256.0884658844782
207,-677.1775011577602
208,-201.67795504313943
209,-398.4702402343994
210,-1271.7629314338483
211,-1986.0646404451095
212,-1014.6863239255114
213,-690.4369462166751
214,-1875.7676108769033
215,-2314.792648700671
216,-1025.310945600561
217,-984.332509232725
218,-903.4437274039146
219,-3043.2532521549874
220,-806.7273094705733
221,-4869.4192234949915
222,-1926.585104040131
223,-1498.3354089711768
224,-444.09542832457294
225,-1310.4067876615586
226,-2504.877964502689
227,-320.356365772249
228,-219.79404635831327
229,-268.29327965712775
230,-696.8351722171712
231,-275.21574109200003
232,-730.4229273342888
233,-956.2508811396657
234,-1250.254719366624
235,-172.40827445433746
236,-413.96199982313465
237,-537.7671795916003
238,-244.6715422083518
239,-1428.010062957028
240,-292.3575764901736
241,-225.60370871506845
242,-1238.6727803498197
243,-600.0784950750327
244,-413.92560414817075
245,-242.09122383917534
246,-98.08067726475119
247,-459.3560106091585
248,-392.06874332677273
249,-4832.94115873181
250,-677.376947788165
251,-224.12399728399672
252,-412.42745994028803
253,-182.9643099258607
254,-369.33026935480336
255,-416.9221065851952
256,-922.4313055470527
257,-2247.841879082807
258,-669.3819553767565
259,-537.8801704156974
260,-308.76118855242237
261,-600.0886395095679
262,-425.49235216558577
263,-812.7976881767449
264,-1261.3417516442346
265,-1051.2291068554978
266,-234.43227564424268
267,-551.9715460173056
268,-301.23276090338607
269,-1031.2542673363093
270,-528.8744952221385
271,-454.7598110380116
272,-244.57126271895376
273,-438.1425338026753
274,-576.5685006416758
275,-977.400214521638
276,-163.29325034611384
277,-1311.7147992227701
278,-329.58736894133324
279,-10929.745788127791
280,-321.6998336555139
281,-167.7880936199377
282,-319.67031041393045
283,-1310.7950090940258
284,-328.04230027784894
285,-379.5344641426252
286,-1312.3003475924118
287,-695.6291093558348
288,-179.22268609969498
289,-602.7082184953254
290,-635.8162645384953
291,-751.746379844538
292,-592.6105725047438
293,-493.47237521286667
294,-1292.5285716915905
295,-1121.8403572488392
296,-440.1163416621297
297,-2334.1506106963716
298,-536.1679115847901
299,-487.5352368317192
300,-1453.3279498139366
301,-235.5726585111206
302,-745.469000530797
303,-398.23096543707936
304,-413.80765681686535
305,-417.3430958733205
306,-1387.8117605066857
307,-356.45894325073095
308,-814.4323593863176
309,-1008.4024627583653
310,-532.3827321762019
311,-412.87416838856916
312,-545.5474913718648
313,-357.74168090508766
314,-479.91820444952737
315,-461.46384892076316
316,-502.25890871691195
317,-439.5329849808843
318,-1884.9744025818327
319,-358.9312991822337
320,-304.5721586979411
321,-360.19144455484025
322,-428.26013641814194
323,-499.51945346097233
324,-311.9445092802102
325,-430.7934824259034
326,-609.8177095491625
327,-433.8020174970893
328,-392.7718767457493
329,-578.7766646843684
330,-848.7647644285312
331,-444.87843843718866
332,-431.6220073599017
333,-432.40820448012846
334,-576.0961460503397
335,-443.2311551262427
336,-869.2836799573495
337,-590.1363952400856
338,-424.3428819797953
339,-515.3769277447541
340,-626.3533077585049
341,-541.9109622951705
342,-377.2577644687015
343,-393.3645496047273
344,-421.4094346433494
345,-574.9324960273434
346,-487.74271146977543
347,-174.93794902603068
348,-403.43530569355454
349,-393.3062988808757
350,-2107.924129983116
351,-715.4622453956075
352,-484.0500208522212
353,-401.9577431641129
354,-376.0461348491653
355,-650.800253613236
356,-901.0565104764667
357,-338.9928915457872
358,-226.62105488949652
359,-457.85486342901936
360,-796.7867292976034
361,-350.04472143259215
362,-240.6657988138647
363,-252.4459355409804
364,-471.44089373900414
365,-435.48145501381197
366,-489.0762475106342
367,-748.9468654575705
368,-756.5377205642075
369,-400.67636156485975
370,-304.20057031931697
371,-356.76879603915313
372,-761.4122569267181
373,-2668.7495461858507
374,-339.30250101683174
375,-758.5189585783542
376,-611.2031067649186
377,-227.5883260017249
378,-271.23475687442885
379,-694.4048623576218
380,-535.258264138243
381,-312.8882379053271
382,-252.78105129608355
383,-182.28008629523487
384,-242.38269291146332
385,-303.1172782728122
386,-206.5922006013368
387,-466.9851937573769
388,-333.35671828851326
389,-221.0370718646409
390,-395.70157073137875
391,-652.527117558098
392,-528.176759349556
393,-508.4248694664014
394,-478.3408554663888
395,-405.2469619903789
396,-625.1673296186605
397,-337.59153894367716
398,-254.00243415301037
399,-331.2719526777554
400,-1493.4388909437748
401,-780.1504451209814
402,-324.8291644460604
403,-424.1608636133028
404,-367.83676572984507
405,-997.5673686442318
406,-285.32060001533205
407,-835.4339446922993
408,-496.71914238155864
409,-359.24603719055875
410,-840.7145160897409
411,-458.19424248692235
412,-300.783729090148
413,-245.01480437687258
414,-580.6962288550038
415,-511.0779077431875
416,-134.98300764820368
417,-413.9245780788518
418,-725.18391464759
419,-258.24571489359766
420,-296.57324787697485
421,-342.3556504583783
422,-464.66314613964363
423,-402.79869563583213
424,-351.230384220999
425,-585.162056424844
426,-531.402305029601
427,-305.28894717571234
428,-708.6230554232192
429,-285.32004493789185
430,-521.4510887354164
431,-264.19528247122616
432,-395.6742438939742
433,-654.9606448887378
434,-295.1831871649967
435,-375.9542231416368
436,-510.79708237314935
437,-447.12841824919843
438,-410.46036570314214
439,-581.8151171376128
440,-314.70871286255056
441,-381.6213971829531
442,-408.83090850507017
443,-344.6599495283922
444,-275.25732416018593
445,-356.425046551818
446,-547.1474786898989
447,-578.2570528629556
448,-1112.965641290944
449,-1237.4393930998021
450,-377.47067898121475
451,-706.5647854227395
452,-354.64728004806483
453,-627.7980020816649
454,-245.44942723159195
455,-633.0309008769084
456,-184.0039863229809
457,-175.55858004126097
458,-220.94850315611944
459,-189.00489589724498
460,-231.10612988941693
461,-336.11233293530796
462,-205.4267378920452
463,-477.14203973775875
464,-242.92095707239963
465,-273.04822497406155
466,-254.13327244452827
467,-266.81817010565806
468,-217.66731302711716
469,-370.5653279230903
470,-576.265362903295
471,-510.6392278111461
472,-444.61094636241853
473,-631.7373277456329
474,-463.8263220405347
475,-358.7556256786896
476,-1057.5898689489366
477,-611.6942362334764
478,-592.678506274562
479,-771.3011459907325
480,-552.2614382931313
481,-504.47592462841357
482,-229.19323976937497
483,-289.9117410707737
484,-349.39165110893026
485,-407.07957527463066
486,-373.7880655007182
487,-651.9190872778743
488,-218.44279542159887
489,-571.7937132670125
490,-706.6201758296236
491,-427.4846991314843
492,-516.7052789461329
493,-468.9469110713808
494,-262.0708135457413
495,-362.42570133100804
496,-442.6745915837614
497,-545.2913621030375
498,-297.8384253269439
499,-843.2307809896918
500,-862.9874448356679
501,-679.457807286928
502,-637.4455132599751
503,-277.23108698928206
504,-119.8748322646847
505,-222.254174236385
506,-257.6609221362523
507,-308.1065661033406
508,-209.56099128607468
509,-668.6359490907262
510,-566.6629436336818
511,-900.8006942592073
512,-1173.2335980807316
513,-833.9772311476277
514,-348.8925453927944
515,-139.83182843009496
516,-699.0814211483223
517,-527.5161204463013
518,-238.6083167140581
519,-275.2500180722414
520,-277.5508154254156
521,-503.0444656967675
522,-162.68177860704003
523,-203.97927570725074
524,-168.1672672947263
525,-164.61463086608828
526,-266.0504821450587
527,-265.71524313802047
528,-257.2977033783304
529,-186.75972403947947
530,-340.43279099575545
531,-1148.8739932825913
532,-504.7928372312029
533,-202.5687933571303
534,-779.2214180750506
535,-368.6584492725544
536,-319.7660393807527
537,-519.023482927512
538,-713.6830837472223
539,-254.9255544909149
540,-612.5661390989733
541,-520.2609680617387
542,-506.80891306538194
543,-143.66407364642185
544,-177.0793769021433
545,-675.1853020112734
546,-731.989981077062
547,-708.840215733756
548,-183.3061499815085
549,-248.69300123642762
550,-340.1978393084083
551,-1147.2241957590254
552,-268.2566211992449
553,-414.5873989984109
554,-122.34465174612723
555,-445.0170314850194
556,-467.30616968939813
557,-373.6502628409204
558,-652.6938781182282
559,-440.94347526914834
560,-242.61080859943587
561,-218.80468137040728
562,-375.0001404072242
563,-285.21430746259
564,-504.1230631619037
565,-468.24398124944173
566,-389.53113518550657
567,-118.34828352087258
568,-269.5238471990449
569,-206.70739045407882
570,-685.1879410494121
571,-1509.1122760666092
572,-403.2494712755614
573,-518.6344686649993
574,-232.90336421626677
575,-1102.4079199024095
576,-1115.5757261251938
577,-392.750725357704
578,-744.0693707281872
579,-430.94821151276517
580,-498.61530852614567
581,-404.0707474045814
582,-502.26333968385984
583,-131.32341892268894
584,-718.1286758630586
585,-680.941903629903
586,-583.7697738293095
587,-319.0570173519994
588,-301.4386913238501
589,-197.83173494240023
590,-947.1338795355812
591,-549.7412477698074
592,-521.2226898251365
593,-130.38230348847387
594,-445.4285334422202
595,-684.6413862426217
596,-299.61855331919423
597,-750.4654242186709
598,-680.5744972944217
599,-640.9600523479359
600,-611.5920449359218
601,-236.1380953410635
602,-309.10190891028503
603,-515.166691626712
604,-600.6927089354358
605,-518.7923359874055
606,-89.64157403235419
607,-182.149940561331
608,-263.1957531423527
609,-527.7388279051513
610,-113.04534914774428
611,-639.4326463192585
612,-191.50773553944197
613,-378.4263939183645
614,-363.05275073230774
615,-750.8361757297963
616,-457.17737337198383
617,-585.8476732052121
618,-509.1735846930286
619,-423.75095574004894
620,-530.9368105748039
621,-908.2193599926359
622,-456.50798296616955
623,-315.46995129456616
624,-359.1358462919214
625,-19.428677187457723
626,-302.7494411029668
627,-634.3794403983441
628,-572.5882055801212
629,-395.91593597686017
630,-725.129249190029
631,-139.05294861518672
632,-468.4426197361501
633,-270.1997602429722
634,-677.8626485546534
635,-930.6874923016235
636,-361.70606134996365
637,-450.2942790799243
638,-367.35103927674186
639,-906.9795752878991
640,-370.2658702194047
641,-231.68261124453585
642,-346.9754634028107
643,-667.2313416524646
644,-64.67280554965093
645,-228.7661807454684
646,-962.7681682665718
647,-499.5623118701377
648,-1245.1363372194207
649,-444.10907521415027
650,-745.7058579148694
651,-322.7077658785719
652,-187.0608468273158
653,-277.9835860861495
654,-401.99184478861054
655,-173.8186654857229
656,-123.92228591679114
657,-162.46859359458767
658,-143.59407511825577
659,-131.6496241373968
660,-545.1008635995356
661,-371.61178309670527
662,-242.76584417560463
663,-40.68705753579486
664,-319.9282753965325
665,-528.8632355280549
666,-496.4987285647069
667,-393.90208390972384
668,-228.21191543154748
669,-205.96120418039334
670,-172.52812157610595
671,-197.8837130107916
672,-79.05972347189615
673,-98.01219493739849
674,-147.01058827577705
675,-40.38064376599583
676,-118.60888337142723
677,-110.43724904355865
678,-699.5349340193784
679,-749.6725441877371
680,-760.3820922421372
681,-372.0507868759235
682,-442.0606536388459
683,-255.29069778178808
684,-730.6390205346735
685,-622.7753717919655
686,-687.817348089231
687,-866.6387458318592
688,-194.6819245789889
689,-294.4475222035081
690,-49.72778697907765
691,-268.31754985304474
692,-700.1232856376207
693,-125.7512826743573
694,-476.56520768614484
695,-241.88165785878016
696,-134.9375197101005
697,-362.0149083418458
698,-77.31642901007618
699,-377.18819579102774
700,-602.6755277575019
701,-480.78657127069124
702,-495.14490228093354
703,-846.6538250145796
704,-472.2129793768518
705,-428.8339025738593
706,-447.68464593266106
707,-187.0332993098578
