,0
0,-184.53652788128295
1,-57.062153470963715
2,-21.669418603006736
3,-59.78211687190971
4,-222.67963145120535
5,-74.19426988148514
6,-29.66059735309907
7,-93.65450438026632
8,-14.953853217712679
9,-91.20291354673833
10,-34.03604953357904
11,-50.06876489420244
12,-35.865078748316456
13,-11.739070784646932
14,-195.49627028254676
15,-110.60923037214155
16,-243.29838929648227
17,-49.625675581335365
18,-59.995219449223555
19,-226.21355775788257
20,-198.15508645032733
21,-27.512866403774144
22,-25.319731820483295
23,-185.18818333341724
24,-90.1552796991394
25,-14.135920477655477
26,-76.85914252234522
27,-185.96841010599462
28,-342.086947677633
29,-100.4884812418897
30,-61.245218866732195
31,-143.97788759655916
32,-110.36507384287664
33,-138.11024836338098
34,-93.60025471988442
35,-245.08477141391603
36,-111.28899844414883
37,-57.43157089114627
38,-160.75427473840415
39,-51.75027613623444
40,-104.71526151419526
41,-342.1948131344687
42,-33.54871227415385
43,-104.34450216255625
44,-43.19860454057483
45,-140.37239779701366
46,-84.5441567493996
47,-24.36789652959261
48,-41.469079655452774
49,-270.58295753711525
50,-110.91359908717563
51,-171.09960415632486
52,-185.9859989300616
53,-172.87856369336052
54,-78.6830226227555
55,-54.54951936875583
56,-250.86400217040384
57,-214.41090264714546
58,-82.38026222987594
59,-245.68809661512378
60,-40.26073422762493
61,-94.96789907099642
62,-100.4035282801441
63,-23.73865320354806
64,-67.05220802412593
65,-25.933490484619924
66,-318.0208719553367
67,-91.42258743295439
68,-99.91430006530815
69,-84.0829436181435
70,-8.745350026187673
71,-64.66762696111626
72,-44.25057344201537
73,-14.408053023802438
74,-73.76136250351705
75,-248.71546307238754
76,-26.791091451495856
77,-39.68413286458707
78,-144.0296069463701
79,-39.18223499746213
80,-73.10374135094719
81,-88.44090107733689
82,-132.76634496715792
83,-34.321115456760154
84,-14.834649558452247
85,-18.611383047859185
86,-101.27946044554102
87,-173.2927111834634
88,-104.17666763300525
89,-36.6608470585559
90,-351.8275287061898
91,-237.23717701638046
92,-49.92139630630254
93,-133.99643068535576
94,-34.618721064964255
95,-139.61044180004325
96,-61.78724367827136
97,-29.830282149441032
98,-140.3829385107222
99,-32.27672693903286
100,-40.48039778872643
101,-77.50617363904568
102,-56.30793234420226
103,-182.50791022338498
104,-59.3253977235878
105,-51.740724594807155
106,-130.5281536227957
107,-184.23614554744555
108,-44.603487940017075
109,-95.87997969965998
110,-60.49517620563032
111,-93.29190448318644
112,-29.345263691149185
113,-38.13436752214669
114,-183.89990772960766
115,-232.624962957244
116,-14.27906357170141
117,-49.323787508803186
118,-66.52111577610111
119,-16.59272533035401
120,-135.9240823870293
121,-98.6792577821571
122,-146.44312990135478
123,-144.73602059390163
124,-8.699272682437906
125,-202.89256363205118
126,-31.881302579850832
127,-176.5967804942419
128,-144.2940872899244
129,-100.99537933152615
130,-24.852819681010608
131,-4.835519804286138
132,-3.4569270303134956
133,-126.20458570954908
134,-54.963544870340165
135,-156.09491878578785
136,-34.34291869207328
137,-72.85730510232831
138,-98.03526935831272
139,-27.42346382167776
140,-163.96664330122593
141,-22.779965558459267
142,-79.1504172300023
143,-21.696851501456816
144,-12.138656029987459
145,-134.60017269802097
146,-42.875923699937715
147,-42.3746201018339
148,-81.0474720519932
149,-108.30162036224027
150,-121.33982441332233
151,-179.7971205010579
152,-69.11209955596175
153,-237.29298919142911
154,-361.426646381079
155,-39.110810967754794
156,-41.182291480084395
157,-134.64436697595738
158,-106.66734217296862
159,-169.91462655162167
160,-75.02067353448122
161,-104.83003800327421
162,-4.718063210459711
163,-34.26253566971046
164,-27.899407374206582
165,-277.4252466908622
166,-27.73589367975153
167,-35.90898000320499
168,-18.387423848545794
169,-300.11796878687153
170,-18.58144428760232
171,-100.25972141867203
172,-90.92790462708597
173,-62.86804915757016
174,-116.22866773846476
175,-43.4869277412099
176,-166.62357498180148
177,-49.12539177670592
178,-220.68460794547764
179,-56.00370378240489
180,-37.44921766684685
181,-72.25005400754783
182,-118.01755331362332
183,-164.5994869236905
184,-239.36319456773353
185,-219.61425937104613
186,-101.17201129843987
187,-15.95166232535335
188,-98.50658592045622
189,-25.17817714852272
190,-15.634862348065647
191,-91.44443515667066
192,-83.89857683772678
193,-24.93998552005022
194,-22.893473576138774
195,-89.87171071457502
196,-24.302041084152176
197,-62.7964940216815
198,-31.506949551547006
199,-51.993843859693676
200,-79.6698440744158
201,-94.81857189358504
202,-93.4601933265834
203,-47.525492572168794
204,-93.1001034019411
205,-382.4985737069374
206,-187.11998143693742
207,-38.63305618845247
208,-658.2145635786133
209,-106.61646879775427
210,-139.0462640530612
211,-137.13477989752937
212,-169.66715841489065
213,-114.53983936920861
214,-112.52079709092571
215,-321.8734731044861
216,-254.1541547055656
217,-101.38604075739796
218,-459.99466648965756
219,-196.1561934066608
220,-273.6264489780433
221,-192.88188542881323
222,-211.57295150998996
223,-65.45766377411317
224,-121.3118070375934
225,-226.55694124525778
226,-160.20521894169252
227,-260.2381903971849
228,-194.70353189221274
229,-77.51642967510443
230,-153.3244875359994
231,-71.7099816440344
232,-102.24439503859885
233,-344.43580714716154
234,-571.4235137141997
235,-178.41708085563428
236,-122.03805392794432
237,-332.9832245258775
238,-92.89721716486335
239,-180.142854704658
240,-67.56521155925455
241,-37.27631408419245
242,-76.6143017748638
243,-226.23244840302266
244,-216.64063212066898
245,-338.3189485198899
246,-101.78705371037894
247,-264.6914191699844
248,-61.877031424074865
249,-444.2441999042843
250,-144.6641854778872
251,-343.8765609468833
252,-68.99965625929435
253,-215.24357084382092
254,-119.60685406426018
255,-230.15880630392934
256,-787.6283114991501
257,-95.75750432246399
258,-517.6047248561032
259,-124.57450434729105
260,-83.97187542732885
261,-324.5310631435538
262,-285.0610770077268
263,-564.8177539221783
264,-130.75114578185935
265,-169.18822964646733
266,-88.20519168405835
267,-156.64264959157688
268,-127.16246457540507
269,-213.8499676284542
270,-36.583160466823706
271,-295.6687443223278
272,-64.90815322473671
273,-346.76122281616404
274,-15.890144601566366
275,-239.65407801019845
276,-338.30290636226573
277,-171.88520880036396
278,-160.74980287004186
279,-285.5916766993511
280,-35.664469338127276
281,-232.5055435181473
282,-41.837455234989086
283,-23.77240877574865
284,-197.13288604584602
285,-123.26845833265452
286,-54.76808473332968
287,-205.95964737274102
288,-60.410025908428786
289,-430.6149722499657
290,-376.5865225734232
291,-537.5552695928815
292,-158.18736061918955
293,-36.649267741201896
294,-64.08546516296218
295,-265.3642682544121
296,-114.69882036404697
297,-224.24686019066874
298,-250.30811942348888
299,-128.43943091831463
300,-55.68783344397837
301,-178.37738504796422
302,-246.57266685079304
303,-111.42992170433615
304,-155.85064753962305
305,-128.29751810745114
306,-224.32878950017135
307,-190.61822096060226
308,-46.37495252369884
309,-384.0264634359054
310,-156.43804435561069
311,-290.9169068847638
312,-395.73118398662746
313,-487.4739492699423
314,-78.92574704892967
315,-296.35952675460334
316,-44.73237472458371
317,-61.38827171185691
318,-48.39468857850301
319,-47.50161505987703
320,-250.49907912793336
321,-60.80863764033567
322,-193.53727700240896
323,-337.00295893893593
324,-214.71924002498892
325,-204.19861082657985
326,-141.4012838567371
327,-252.01451176068954
328,-71.65035473930895
329,-59.690617093931245
330,-156.03223694098563
331,-169.47296868898383
332,-324.53902362849396
333,-287.1105744747334
334,-23.490532574644483
335,-82.78406030344388
336,-24.913435314708472
337,-208.91882658237358
338,-149.45537609382424
339,-221.2791441828847
340,-164.78065050518046
341,-230.0401137474774
342,-34.72338022541869
343,-109.90367059712733
344,-30.039358209134974
345,-166.96016980239887
346,-147.56632094167392
347,-242.25737310120468
348,-168.10044055549832
349,-241.34769033737496
350,-71.97083006421057
351,-267.17609663999946
352,-250.48549862600885
353,-194.4529729869979
354,-337.0541468920615
355,-286.79386124164364
356,-291.91525910063615
357,-334.298231685461
358,-256.199087930075
359,-234.11831273251207
360,-111.88070896758519
361,-112.8815410642527
362,-185.31884060375572
363,-123.93593927858531
364,-411.4034436540209
365,-304.04061856970804
366,-40.117713082522585
367,-270.95171746800446
368,-59.126373465938286
369,-194.78805264486817
370,-186.6134022930301
371,-362.13904240760826
372,-173.23209696383802
373,-221.40202890410495
374,-265.00411833560753
375,-116.87581063080238
376,-132.5717470540168
377,-115.49873730992556
378,-45.5087149244767
379,-78.42104320193762
380,-87.84863996038561
381,-131.86612384527626
382,-96.51550486019802
383,-60.85281964418108
384,-83.70105318087504
385,-336.25905496904556
386,-83.3366773713687
387,-218.66456727777094
388,-118.26188375392996
389,-34.26053983206805
390,-44.828312916882595
391,-850.5167289542177
392,-206.2212486053882
393,-109.7799047496984
394,-39.411016950221395
395,-190.52950070949484
396,-70.91705203449582
397,-320.3963225294035
398,-258.3243550271573
399,-560.7152809089168
400,-174.48785846146902
401,-175.3521394014396
402,-333.84526342827655
403,-274.3360512223244
404,-253.019665964061
405,-42.0449483111685
406,-65.22104909402101
407,-111.81542028297248
408,-474.8811634152934
409,-90.9777501358574
410,-103.85574986763876
411,-296.8851230383066
412,-169.52334048710676
413,-290.9798530562864
414,-389.44792220299917
415,-66.20940200101195
416,-353.9111039277466
417,-117.20150262460794
418,-52.1404276276133
419,-344.31636637224574
420,-148.67405388611155
421,-86.11579695885335
422,-245.72998286220994
423,-219.8038200242973
424,-46.47692344240109
425,-701.7164920300659
426,-57.23870336958616
427,-17.29909435439906
428,-263.45049731929635
429,-35.26535561916366
