,0
0,-1876.3829626497554
1,-1125.9262944001716
2,-446.4522790957324
3,-1535.725227423437
4,-1238.8609140357516
5,-1856.131141040646
6,-248.5663585864471
7,-349.8185392105766
8,-2102.6272959032076
9,-322.15061545119306
10,-620.5752938656534
11,-800.2122792960118
12,-1201.4662558688105
13,-170.37631184882474
14,-1233.6386742061268
15,-1187.8175874993776
16,-500.3277758156661
17,-173.16493928706436
18,-397.32703492243894
19,-270.69292436379374
20,-1400.0232022281655
21,-1426.7757720251677
22,-1180.1915085511027
23,-516.2468872801511
24,-3801.829158968625
25,-1145.586253831111
26,-184.12885594597813
27,-326.42457116518057
28,-2080.093201712635
29,-370.5973931769232
30,-115.84495536490223
31,-192.92509665164832
32,-131.7308090363308
33,-2393.6672288559466
34,-699.2788938194609
35,-167.01189031744497
36,-826.8236912293255
37,-1591.7316622852434
38,-770.8417090951841
39,-565.2888924129041
40,-580.0402574550134
41,-610.6747530400526
42,-3207.3548489650784
43,-457.30034287402526
44,-307.2615136739743
45,-867.1398754416321
46,-393.6256313036227
47,-359.3946284055589
48,-270.4120782819971
49,-2332.2461607932296
50,-462.2948052635262
51,-51465.5587281831
52,-53327.20494864999
53,-2230.262619139057
54,-62524.21225699161
55,-12278.12934466055
56,-32454.72864347557
57,-54913.92964923199
58,-36839.41211423353
59,-2788.8340013632214
60,-268.7309404107435
61,-248.72588277568408
62,-31471.506152153474
63,-66522.1448615084
64,-40872.20479658285
65,-1280.0137597805958
66,-782.4188196042167
67,-906.3399883094919
68,-57375.322235454354
69,-61766.725092329085
70,-63019.1123970664
71,-50952.204896635776
72,-677.7107184640652
73,-11218.936563439393
74,-58910.08106740026
75,-524.0290370852761
76,-53.301041856815786
77,-217.7333603707504
78,-336.5080594532307
79,-341.51277932625476
80,-24.65342685277753
81,-122.2508083330178
82,-474.3068368098876
83,-213.293161840382
84,-40.125298725577885
85,-904.47914376922
86,-724.9651623347584
87,-163.67158920400612
88,-341.4012479405234
89,-375.6928992071337
90,-33.58714670538974
91,-331.9052932170317
92,-295.0172449666661
93,-497.9008930119981
94,-166.2239234232798
95,-62.12813912224537
96,-134.8258003949905
97,-982.1736154972396
98,-191.42030591557096
99,-239.3811537677953
100,-221.9100260011267
101,-45.22570652214614
102,-437.57707781876366
103,-720.8189218548598
104,-257.01119769869337
105,-84.7568992413969
106,-113.1490378968673
107,-49.54979922723953
108,-152.53016957673464
109,-315.12030779186
110,-502.3785643897931
111,-257.164787069912
112,-162.91294703797658
113,-511.46005557473455
114,-355.63567202703035
115,-943.17277570016
116,-798.4176229665202
117,-425.26707852975727
118,-877.5317949188902
119,-598.4851510410201
120,-663.5031664861292
121,-887.698064355814
122,-675.5750461384978
123,-515.7670992122719
124,-501.36576463074624
125,-995.1799690556143
126,-418.69366618390706
127,-1069.2958825464545
128,-745.2211672748836
129,-918.588362372413
130,-798.138986671356
131,-768.1798975333688
132,-623.754762196028
133,-628.8940255595726
134,-698.2080977959463
135,-951.4512238381285
136,-771.0767896036414
137,-440.8203190886667
138,-1091.2159096289656
139,-1294.363611098024
140,-710.8934854906777
141,-483.9573492369101
142,-1034.2083704692827
143,-887.3464694224596
144,-437.0069322155713
145,-422.97457881741224
146,-484.9123183477217
147,-472.284155827739
148,-877.204392412005
149,-482.6862524472828
150,-627.5650723898477
151,-1060.3890959290327
152,-549.8955358558329
153,-595.0196345706229
154,-597.0957068028607
155,-588.5883453883052
156,-368.6763755124239
157,-769.9221658376528
158,-286.09515222454615
159,-353.3681113327644
160,-473.8522767622069
161,-580.3342355670861
162,-601.4036725158892
163,-1167.3476869490985
164,-612.8916464968356
165,-570.9625247448903
166,-292.4365552762246
167,-1150.1208714123495
168,-569.1219703616115
169,-1329.1841710542494
170,-548.9751522663992
171,-283.6778682326604
172,-1069.2294570134495
173,-735.2970361874261
174,-479.7776592235387
175,-414.351822439548
176,-758.2389140391283
177,-822.3479784538017
178,-1408.361572092393
179,-419.3180719482365
180,-333.88790968581657
181,-569.8269984758355
182,-370.61687269486987
183,-541.4661723638944
184,-319.3728991260234
185,-255.07389515163814
186,-716.1775645934523
187,-404.55264497001
188,-248.9311348839554
189,-523.3811187381156
190,-267.3700558547466
191,-914.9500679603993
192,-758.7261377516288
193,-661.0046374630322
194,-306.7142505958424
195,-1865.632104503382
196,-364.73294616263263
197,-346.872136047661
198,-1111.141783306615
199,-717.8476839330792
200,-203.24995040177808
201,-1891.603048515993
202,-365.0476774901159
203,-348.8203601234637
204,-525.8788495715908
205,-804.7399040187127
206,-1234.0362883101875
207,-786.997124481157
208,-433.729212980414
209,-1171.878030307989
210,-1142.7661221975786
211,-1857.4963963429946
212,-1210.2750743847882
213,-1697.0549369707217
214,-866.1783125366597
215,-1432.8293963493634
216,-1701.2023704294352
217,-1057.2580233534507
218,-1510.8109568621408
219,-1144.3258092840742
220,-168.9626161145711
221,-947.0199649989285
222,-1309.0677169480368
223,-1540.1485095901492
224,-676.5372228489742
225,-259.9787363689528
226,-1760.5915050079227
227,-815.4432754212994
228,-787.9351259988222
229,-213.37909016465653
230,-1181.9736673441503
231,-1412.7903062874911
232,-183.61651232534095
233,-195.10535475776638
234,-1122.7235533492612
235,-931.6931508222835
236,-1486.465106777283
237,-959.6399336668328
238,-649.3161367434753
239,-528.2693092911602
240,-888.2887635633097
241,-404.12827204708094
242,-1120.2451932692002
243,-483.3656357068475
244,-692.1719647332019
245,-1271.3575965784212
246,-344.2189699927948
247,-847.5335032149592
248,-1209.1363135422566
249,-692.0482257658996
250,-665.5051109535359
251,-878.1478618772483
252,-847.4321514483295
253,-1761.548384751995
254,-134.2901340874954
255,-986.0950993282787
256,-1186.933373202849
257,-806.8758208291385
258,-105.02184123961106
259,-511.20984888125395
260,-131.16974506202058
261,-1794.188035596376
262,-105.54285522480008
263,-1079.6185643956462
264,-877.3662638370272
265,-302.57486907150263
266,-472.2492317702418
267,-860.6843302837292
268,-251.5140537808399
269,-459.3499901712889
270,-357.6913636709763
271,-749.9666552035156
272,-2215.9512889629077
273,-1430.4234013971816
274,-2019.319011286893
275,-1202.7673557017672
276,-18.779658350736053
277,-149.46260875957626
278,-122.06162344003089
279,-1181.2956819517233
280,-1016.9401064115609
281,-156.2844887840417
282,-731.2800232083889
283,-210.4992676536789
284,-355.12908853204164
285,-616.9226243912249
286,-911.083008758068
287,-390.5484057045617
288,-555.8856068576777
289,-202.66236476215724
290,-457.5117530265328
291,-1324.1306646884855
292,-238.97163051802585
293,-122.0025618747776
294,-146.93567906991427
295,-1978.9364981256658
296,-1658.9924688153076
297,-1188.5578504068392
298,-2816.679880150898
299,-1483.5658421210728
300,-490.77616791218554
301,-252.79051741058402
302,-279.6742855871281
303,-1752.616688441249
304,-2048.050703320025
305,-591.8837847369211
306,-1808.2290100369983
307,-1392.2767524961032
308,-68.08556004257562
309,-1718.521111977157
310,-630.3986393161883
311,-234.06804153907785
312,-321.8347396946532
313,-1136.9600222773015
314,-627.4023751305774
315,-59.756991290680816
316,-38.12976591957325
317,-57.61631435160517
318,-209.59715570539421
319,-1336.615616469399
320,-146.27461289140643
321,-687.6173795904717
322,-45.841667098059034
323,-823.0974523145454
324,-809.2785675832113
325,-181.08898603135393
326,-131.05551486688785
327,-269.3971520187216
328,-123.61002628875298
329,-1344.7049482351508
330,-788.9827833418565
331,-121.32365346544677
332,-214.56809744143675
333,-51.37865539887034
334,-853.2630948888859
335,-866.4417459097771
336,-130.11548775906505
337,-133.19503931442298
338,-113.45418237919385
339,-175.17985467057707
340,-183.63723604129495
341,-253.05112677672486
342,-173.58577472429232
343,-224.86952675345657
344,-1843.1774544892885
345,-793.7246775238577
346,-465.91424282357616
347,-157.7609978553853
348,-311.42809272341947
349,-787.838540050273
350,-749.5296587381222
351,-77.11726472663369
352,-161.08984824711342
353,-86.33025339053151
354,-243.8864901410934
355,-693.1290816420192
356,-260.2387484808135
357,-271.84823713838784
358,-261.65103267683355
359,-48.215407725810145
360,-461.6649519985766
361,-151.51420894035385
362,-176.55356642916038
363,-545.4306845277154
364,-102.53512420599728
365,-714.3421772494357
366,-240.48958480283102
367,-120.9418385488743
368,-115.8643031625073
369,-277.40043303296386
370,-375.49255213589083
371,-1017.86733227916
372,-70.86357894742862
373,-1506.2024271244536
374,-554.9148907633355
375,-712.4141686837493
376,-227.52432001137274
377,-114.74835347156814
378,-599.0929093666523
379,-168.10400430106816
380,-118.26828047370132
381,-313.396266001605
382,-165.4850926034989
383,-1505.9012353889857
384,-122.59798564207895
385,-550.2709416325351
386,-311.3760571745665
387,-284.1686734435159
388,-169.0602267775707
389,-35.21573265673037
390,-120.47286418726574
391,-122.31340214278926
392,-177.81168682809846
393,-1607.8111196649234
394,-645.4224267454729
395,-520.6912027652063
396,-94.56158187186642
397,-209.54945449817683
398,-401.7339310886321
399,-94.95891571286117
400,-691.9770896145321
401,-90.99182635061015
402,-248.8794236683075
403,-282.42639330555767
404,-404.54050782111096
405,-1256.822976258446
406,-408.36121312098686
407,-195.14647398298715
408,-1287.7293766406128
409,-143.27557752122604
410,-65.82865423982231
411,-743.2832131312163
412,-867.2990109884901
413,-127.3756413441134
414,-195.8630208663377
415,-174.54139990104244
416,-246.45149030231903
417,-496.06241309841283
418,-101.70699461335798
419,-335.759740174282
420,-274.951811475036
421,-190.65930734703267
422,-907.7966870485114
423,-165.70777845410208
424,-269.4447571263297
425,-556.2367657370223
426,-580.3705758913516
427,-192.66434346847532
428,-191.83098376854977
429,-110.93180371224366
430,-439.4707666866515
431,-370.1521900650237
432,-152.5560466905617
433,-177.44023679929194
434,-128.4551240565713
435,-80.52436362339678
436,-455.94632219718324
437,-279.1321199602327
438,-74.7408622966814
439,-217.96100547483258
440,-223.27927276179224
441,-982.42823039695
442,-102.19532758596137
443,-700.1195900309315
444,-1057.5566280646005
445,-2137.8793218732776
446,-227.248124674074
447,-1093.2946080530282
448,-1957.2460165884013
449,-665.4329228115308
450,-157.6128406013758
451,-240.3907207209619
452,-301.16846446347597
453,-782.4005926478885
454,-272.4576028061134
455,-636.9259927801874
456,-218.0577789451666
457,-64.67376656399004
458,-633.8274922184614
459,-1115.1901619862276
460,-126.64926218850619
461,-118.58371850764985
462,-286.2783448982991
463,-1014.8021037833645
464,-181.1912454591116
465,-645.4830874184188
466,-200.7153007252739
467,-386.8489369061872
468,-112.47740912138975
469,-693.8986928232971
470,-275.84787983974786
471,-173.6129903865016
472,-432.3040018172306
473,-1176.3869180646068
474,-477.77291571663926
475,-75.93353356451982
476,-345.50795738305646
477,-243.45789033988723
478,-117.86141183222762
479,-83.2324740499492
480,-109.92729427019697
481,-383.16002153198804
482,-1157.3472860197403
483,-58.64287166286671
484,-698.8260916986226
485,-248.86370469197203
486,-631.5961668424769
487,-255.21449178319557
488,-409.1933755240973
489,-292.36500963737745
490,-252.55704364246375
491,-512.3642634425717
492,-588.173694072143
493,-181.49097146368337
494,-221.78660797034652
495,-227.51254982006864
496,-161.17354235075572
497,-159.97929447516174
498,-176.4818790948063
499,-101.53491647425122
500,-653.2146136785925
501,-47.86341815862462
502,-108.5661931131675
503,-322.42587857881017
504,-366.03037676787676
505,-29.780306214280415
506,-64.93185046538538
507,-68.25398012313886
508,-908.0228514541303
509,-459.7365294269069
510,-283.39589421393146
511,-90.6280533221155
512,-162.9514121341727
513,-188.2352068382121
514,-158.69333271016842
515,-121.47341565187058
516,-327.79119083052524
517,-234.02483353351795
518,-468.41042389841584
519,-62.87405699622924
520,-110.65849692956422
521,-250.28124009461465
522,-60.58616271966379
523,-63.75014079964976
524,-494.8337612812662
525,-109.06686518449558
526,-163.00233743878755
527,-132.14697271985636
528,-99.07960199546099
529,-144.69842834448747
530,-166.72763671621442
531,-82.43710967487272
532,-478.7910631561263
533,-288.1379049624432
534,-600.8875946619821
535,-107.0036806314647
536,-284.0399172305714
537,-97.04485991583071
538,-97.34839337099785
539,-413.98191713399456
540,-206.96227452039815
541,-208.37375993562426
542,-119.59306775983941
543,-172.10907942645798
544,-568.1393477484528
545,-558.9381678948948
546,-316.66459211131007
547,-161.00531664217002
548,-204.21071869659266
549,-309.40027486374726
550,-146.0299907513663
551,-324.8398282909981
552,-275.00581162468376
553,-46.8437987134961
554,-174.15344108333494
555,-531.1038061742111
556,-148.61409547002427
557,-174.53070445579834
558,-91.35343190244384
559,-312.30205905621904
560,-457.3664879730874
561,-29.58796192534604
562,-1134.796841117603
563,-77.23163618177364
564,-399.998089003381
565,-283.2011145721415
566,-209.33951031030702
567,-121.5108179135413
568,-159.79312717083326
569,-246.80199810081467
570,-263.6401128518736
571,-712.8195127738336
572,-507.4912721133213
573,-186.7899162339098
574,-60.91386607067386
575,-206.09876979800342
576,-440.35643991597095
577,-215.50468465029522
578,-361.5894961320436
579,-68.35525695664896
580,-48.985765256768815
581,-223.0341330758908
582,-199.25054820056172
583,-127.73220691886274
584,-292.2312447749025
585,-631.8742597186671
586,-223.19036710713385
587,-127.02577401022627
588,-257.4617328292941
589,-341.00750104316927
590,-34.0243518931493
591,-147.16896033947106
592,-626.4000667514074
593,-237.34879845088406
594,-677.5030890002976
595,-51.39924802654883
596,-118.59590937216436
597,-483.81092427968827
598,-203.57471392413882
599,-112.07791068894586
600,-74.33445429819614
601,-101.50753874566456
602,-43.719106190642776
603,-169.11300428045928
604,-200.661478486401
605,-642.5103638518617
606,-226.28806942667285
607,-241.07329094305908
608,-362.60992897431004
609,-133.33817725964343
610,-93.34495038973367
611,-47.76816049983805
612,-66.45693881891034
613,-39.86103427637605
614,-128.16283353009536
615,-177.66941095023995
616,-178.4603798853141
617,-637.317754557605
618,-223.22968280276953
619,-575.5946505025122
620,-195.79626925509348
621,-367.92736350284224
622,-173.98262292714008
623,-165.76142824508702
624,-124.5341390711044
625,-95.36177716258389
626,-327.13312286237203
627,-389.87724826660497
628,-274.75877766655015
629,-589.0110208925657
630,-565.3732339584938
631,-154.74902348082543
632,-216.14145346429927
633,-103.363761886567
634,-82.08848124326454
635,-635.1658628310029
636,-87.71481290949596
637,-250.01176153652847
638,-113.91025844936576
639,-559.0323142931181
640,-288.992073100718
641,-212.67242988406247
642,-233.17441692820057
643,-566.0006254930636
644,-208.48446175390484
645,-131.84524635802066
646,-381.6462812888009
647,-546.5579820061758
648,-124.70289602176429
649,-106.2377396689698
650,-76.11610526796714
651,-97.28334558810451
652,-79.03553807644892
653,-163.70154237025156
654,-52.35896429610771
655,-306.1870754340707
656,-159.43610607515706
657,-57.38391166739398
658,-191.25993817610106
659,-49.448842385509266
660,-217.05689286838322
661,-144.57705393138514
662,-178.2451935216028
663,-100.38972930571246
664,-60.153886763582705
665,-454.94379724586037
666,-595.8365425393974
667,-151.39764507326805
668,-385.1380830255039
669,-453.7441056570087
670,-87.90856733866455
671,-231.05179816011548
672,-142.45443933511592
673,-778.8644084260527
674,-137.68077428001726
675,-186.00533245927133
676,-120.80293050303776
677,-583.3347079044063
678,-82.11434816773641
679,-59.9182039745255
680,-235.1467405878908
681,-293.02029639876116
682,-171.47359932579639
683,-212.25109391071433
684,-122.914883842943
685,-46.15460085900561
686,-29.99885007977535
687,-106.98930806907103
688,-152.57983555436587
689,-690.4412222276997
690,-162.6011167191845
691,-103.98585947289385
692,-106.3299749795305
693,-201.15669272700256
694,-189.12508282788886
695,-351.20165382129767
696,-497.33294789371564
697,-521.9529242368045
698,-263.20239457484035
699,-223.79315375202998
700,-246.23665557116254
701,-125.54205931947064
702,-202.57512783307038
703,-81.4349774160035
704,-215.00822510416967
705,-208.53271546786254
706,-151.3765253281258
707,-91.82791066208054
708,-137.9661720288065
709,-103.9968066091082
710,-443.5112809707275
711,-44.37090311548261
712,-481.73215324786565
713,-604.7952694798556
714,-228.96136209997658
715,-914.7291482865032
716,-391.8036037629654
717,-102.38958453370508
718,-115.23119914541897
719,-331.7500278833094
