,0
0,-175.07762530950117
1,-918.801856420466
2,-1251.2938212959234
3,-206.71073436175755
4,-688.0979129395987
5,-1189.8501725905992
6,-1831.4802019374238
7,-148.61196626636954
8,-1986.5578109144583
9,-1391.349656442018
10,-278.1356084041846
11,-1122.3296386062834
12,-601.0605473923428
13,-250.13093191847548
14,-1759.1857903305374
15,-736.1362373775627
16,-759.9033506194377
17,-256.06965675890126
18,-910.4712175569368
19,-298.35714002938124
20,-1719.1237727707912
21,-944.899424467499
22,-1700.6928384854714
23,-523.8303740871856
24,-291.5524967167207
25,-1298.383758515819
26,-2272.0472620982923
27,-3073.9925363178386
28,-1770.836009018156
29,-222.8927418344762
30,-266.59433255596207
31,-2251.602898636632
32,-238.84575113733476
33,-761.6615834755382
34,-441.1376483575441
35,-186.77021829529806
36,-412.37074483341706
37,-149.0268927791497
38,-1328.0351741067502
39,-1739.2916360845923
40,-319.9167671734649
41,-968.7971487121779
42,-817.1830068813596
43,-83.00387234514454
44,-508.05558407950696
45,-716.3015800685262
46,-301.65629869592635
47,-381.4266214630949
48,-2066.648606415285
49,-393.2083622824374
50,-796.0771970314822
51,-913.272944885219
52,-55541.07600559488
53,-4337.069633423131
54,-65357.14191324143
55,-36098.61358569689
56,-53390.1156538351
57,-55624.73424178863
58,-51758.8350327783
59,-62579.350422050775
60,-58133.7207967922
61,-42981.0160572408
62,-49294.677526177926
63,-533.3556696742731
64,-716.47390497161
65,-25840.838136462215
66,-71760.37196864006
67,-55126.98073512345
68,-45698.27203541956
69,-376.6441007373425
70,-51.562333850800385
71,-142.52985359034668
72,-262.24717575485374
73,-294.4870293955173
74,-112.2962605349319
75,-346.09401818560696
76,-102.3067131754795
77,-536.7223717546567
78,-184.73543609604502
79,-303.3023971098546
80,-1052.3441853621603
81,-766.8503266822819
82,-89.35989928481192
83,-620.7585083478915
84,-1819.6547371965416
85,-163.0501344987789
86,-499.07668050980965
87,-149.40022936268943
88,-72.5265378690698
89,-242.7949806688975
90,-285.376540175416
91,-776.3861717406519
92,-64.03567699203204
93,-49.034922137199416
94,-684.6113977003639
95,-182.13013961736843
96,-415.56852384233787
97,-127.71816895619261
98,-1248.3305667615964
99,-1240.8172928411568
100,-471.33480125941685
101,-236.4201847397713
102,-95.70811482427546
103,-91.02733707121581
104,-926.5304145478282
105,-540.1424773505053
106,-171.3661010812377
107,-731.2205542542035
108,-351.18818752704794
109,-512.3771226093
110,-252.95729566113883
111,-467.86258445548606
112,-536.4384745953288
113,-329.54026239595987
114,-1261.4853545407796
115,-960.226869710988
