,0
0,-583.4007115505331
1,-397.975688353132
2,-233.20660824193195
3,-435.83183964646776
4,-999.8969051462202
5,-627.1486748247642
6,-772.5710278426942
7,-386.86705346394484
8,-1306.0379130639315
9,-318.42907806116614
10,-1371.3842807886545
11,-594.665536670604
12,-977.0998591989056
13,-508.0658357262078
14,-356.31415548202017
15,-296.82261720895224
16,-419.14133118424996
17,-177.43005684882297
18,-763.3798893583524
19,-283.8972494953273
20,-271.8483534424805
21,-1179.8223246243326
22,-161.03984627975024
23,-1350.081552844478
24,-808.3608223013939
25,-516.5884238931797
26,-523.7992946124546
27,-501.2072708040921
28,-973.9579031596301
29,-1096.778203643083
30,-380.2940691953382
31,-947.3546196127982
32,-264.88748949593713
33,-2073.247815553502
34,-244.45201782418224
35,-1158.4381214647522
36,-782.824074505716
37,-1572.3866979859145
38,-621.6044761262026
39,-1600.2244806165
40,-2321.7396494985237
41,-1223.1148252137896
42,-1277.1783291471368
43,-101.32827667833038
44,-248.34762292174287
45,-3026.838960311373
46,-1501.0598399377423
47,-1030.7119597794313
48,-1587.7056702132336
49,-1056.9487150210962
50,-33179.58562273704
51,-34927.78968617933
52,-37876.01937469762
53,-26790.46503274804
54,-45364.793451710844
55,-46783.0487215927
56,-51216.45496807931
57,-19465.646494653738
58,-552.887598918004
59,-48175.96536746322
60,-67712.90665809507
61,-55002.20152224583
62,-65442.98698606677
63,-39696.34583004269
64,-37150.992476424915
65,-8304.001354230586
66,-519.5194342979775
67,-576.2228926640297
68,-54753.07819671988
69,-48258.66078639456
70,-401.96691732035094
71,-3153.238386327096
72,-330.46586076512887
73,-572.1220485247363
74,-857.2870094058161
75,-510.4499148172659
76,-301.77782189238746
77,-688.3349741378274
78,-66.51541501759034
79,-573.5005088549151
80,-669.2379724346724
81,-456.64233481434553
82,-350.10404539257934
83,-870.8190912291062
84,-129.9396326142217
85,-200.4587351471021
86,-473.23494301539165
87,-382.5473446826227
88,-586.5669803806031
89,-739.1088398427285
90,-311.0385583963048
91,-546.6262877665358
92,-619.5229663930543
93,-1191.1154000442841
94,-693.2304984478359
95,-451.08005506278937
96,-434.75776156928487
97,-69.68399171848576
98,-362.84492032035564
99,-106.37122626521109
100,-428.4148815121178
101,-83.66040881932446
102,-490.7247626500538
103,-475.4464374524405
104,-112.66221459075187
105,-561.6240676027593
106,-489.31664223162926
107,-191.84848238945608
108,-248.40491265192637
109,-265.56653887124867
110,-962.582514247209
111,-620.210752443503
112,-547.0243597430099
113,-612.4812710401949
114,-131.75628143211867
115,-1030.597782179184
116,-244.2827932184104
117,-325.3085892618843
118,-674.6903719140118
119,-47.141711098185816
120,-24.295499830296247
121,-426.3069655865802
122,-267.7875683462657
123,-776.6240789254182
124,-613.2378074458765
125,-249.70850701856355
126,-445.4482958578031
127,-189.03293803848413
128,-1058.6679868711897
129,-171.30236155681453
130,-1209.7206771858691
131,-316.2397818745356
132,-170.77722135792095
133,-590.1412763039071
134,-164.93906972446553
135,-1251.5228470174736
136,-237.69132740355838
137,-183.1080253419039
138,-1009.5072940580349
139,-1044.1418573035598
140,-147.29398786276911
141,-936.9264674998501
142,-580.2769270348733
143,-81.8951647312167
144,-164.93802861020066
145,-287.1107154092689
146,-61.50245935643368
147,-733.0625510418524
148,-1429.0094483374899
149,-811.134950625974
150,-1050.5763801260714
151,-294.54759083822546
152,-335.1100399267941
153,-163.77468018423895
154,-890.1474559733272
155,-474.5858313280525
156,-1215.3577386620157
157,-1330.4411459583223
158,-1268.970630740289
159,-937.5805428198355
160,-352.20571809678154
161,-354.9974967164187
162,-607.484963896848
163,-410.3013784080768
164,-188.5944169509909
165,-125.67736703479105
166,-387.1655473309018
167,-377.92184833494355
168,-363.80023271899944
169,-691.0190762140007
170,-628.0524777935967
171,-868.6682535663374
172,-616.2846990370659
173,-788.4597951237379
174,-782.4833809923571
175,-907.9806564227498
176,-254.18956496671902
177,-1372.2794611169775
178,-537.7123363829107
179,-1584.1942501758554
180,-605.105261418511
181,-1080.777093868456
182,-57.2657548506385
183,-206.46290272300558
184,-621.9940985663397
185,-575.2939331194079
186,-118.88367962379053
187,-1519.0988995969715
188,-340.6912142242133
189,-1985.8117755232336
190,-917.1459336277121
191,-508.6690829220118
192,-1140.5516448950164
193,-412.2950280707938
194,-425.14135349432087
195,-538.092551094533
196,-111.86895452233298
197,-1428.5249249342255
198,-728.53481651474
199,-1374.9276819249794
200,-1207.565116823346
201,-1151.2073359190927
202,-1116.8062016758993
203,-147.6952070367915
204,-340.18689000489996
205,-815.212721568737
206,-74.59665043103286
207,-737.5936672882206
208,-1350.7494997052506
209,-517.6138397662559
210,-334.39319178434874
211,-1523.0642110958718
212,-329.40166959490114
213,-208.93486345431256
214,-806.3169943685759
215,-1290.4642654464064
216,-494.3696071316551
217,-320.93747616458353
218,-984.8462517259566
219,-349.8069532561027
220,-465.71601670300396
221,-1101.634815151223
222,-869.0559034289922
223,-996.184839874487
224,-369.1373607061892
225,-429.64215968003816
226,-532.1737026479415
227,-334.7537134302276
228,-546.46363891068
229,-472.9924559442876
230,-393.03409451221006
231,-879.4623208505858
232,-402.2781487913841
233,-765.0253544514762
234,-500.0492001381597
235,-331.5677471401999
236,-774.5415092787316
237,-421.9585447801611
238,-593.4977300521696
239,-410.1541501120097
240,-1636.910078913206
241,-1296.0425138149199
242,-861.9643027873904
243,-485.08604484036283
244,-740.1023260144057
245,-1112.6257959562158
246,-573.7803646873747
247,-608.5116745430776
248,-572.4515594431186
249,-959.553295226051
250,-985.3174544676989
251,-977.0615330689034
252,-960.6139296427448
253,-571.9352938862485
254,-1357.657740768881
255,-460.97141501893617
256,-701.2367359777923
257,-643.1764102454251
258,-1348.15197517254
259,-671.738762676663
260,-676.0634631514697
261,-1455.3950750823255
262,-967.7001740302259
263,-670.3084129351096
264,-453.49216941735557
265,-906.1706978102045
266,-1083.1598743561885
267,-918.4882477408543
268,-386.610781637237
269,-1053.9787276538075
270,-366.67418974064356
271,-219.6713358717858
272,-318.42266881200726
273,-274.5251246073229
274,-1037.4710189067669
275,-283.75067447393786
276,-227.01021045171575
277,-340.7606806596182
278,-233.23483819991245
279,-268.2264611221839
280,-222.80867700664953
281,-232.16267227921747
282,-343.26923438462086
283,-211.71928469053228
284,-294.45989844262806
285,-259.4609845458833
286,-256.04975324436714
287,-278.2548400367856
288,-563.4612589175051
289,-241.05381470624502
290,-206.88195966918028
291,-313.4884475783981
292,-299.71235452214114
293,-356.38783422334313
294,-1189.3165397687903
295,-283.28908720152265
296,-2036.3565085995533
297,-1006.4137758966983
298,-623.030713865192
299,-2270.9297544200285
300,-1528.2001282044566
301,-1483.6929454672336
302,-128.31334744617897
303,-1359.5360702423475
304,-894.8952916960867
305,-1043.3327583979026
306,-352.67708142660877
307,-1218.0668713757386
308,-1148.792329865912
309,-203.42421615645574
310,-286.4466640178268
311,-340.8454079047923
312,-397.752266916371
313,-1140.796918795299
314,-940.4412824197648
315,-114.98490532912669
316,-607.2514689989985
317,-143.83112429741638
