,0
0,-1831.2929602190584
1,-919.1583276432738
2,-560.9295605824753
3,-1127.1730199146566
4,-2612.4539197555023
5,-1058.8166046953252
6,-191.38903323604796
7,-631.0314995213295
8,-2905.9750876442945
9,-348.38447520522436
10,-1186.5881502020793
11,-617.6413959373099
12,-248.73189085843657
13,-865.4459663576519
14,-386.18628817828494
15,-2797.0039340554395
16,-3058.830726421179
17,-424.31910481134736
18,-1916.8795694184594
19,-466.7669510111311
20,-259.0155511587156
21,-1149.73643204782
22,-644.4483479770834
23,-723.2601658841702
24,-382.7555311781746
25,-704.4346317806339
26,-1581.2404844035173
27,-764.519625781316
28,-748.2997934141583
29,-1533.50367296209
30,-1634.9371093577129
31,-1679.9111933038823
32,-411.9252262586678
33,-726.7818432060535
34,-327.5416698095731
35,-946.5519929701775
36,-1603.7257541008248
37,-1097.5897953122144
38,-140.1709777891194
39,-538.7607598119633
40,-119.15662680972741
41,-1858.2714562123078
42,-373.55157238038316
43,-1443.464885571439
44,-266.23534510548825
45,-1472.0009768930258
46,-206.62952819007933
47,-65.80469029522848
48,-383.744747570649
49,-503.5880731417094
50,-1031.2359667439919
51,-62913.73277364082
52,-8168.2272596441835
53,-6327.9449564662655
54,-28324.190729561997
55,-546.8467584823719
56,-298.95753869126594
57,-255.70591114424127
58,-808.6746206037437
59,-1838.4851377848186
60,-233.21095728201414
61,-1090.0944676543418
62,-753.6650034546844
63,-747.9669859938708
64,-380.27102805571565
65,-1692.565070017838
66,-1256.269576046462
67,-1110.6954659950547
68,-361.12601831939105
69,-1085.565925864631
70,-271.32172415787505
71,-781.2192751937905
72,-1899.6195433214216
73,-1331.3072443333767
74,-61124.03314889174
75,-710.6053829648416
76,-521.9578338661777
77,-501.0898864206723
78,-548.552435535268
79,-675.5182900347014
80,-742.0039981704604
81,-784.096839137527
82,-286.3160170099169
83,-230.00583617012038
84,-707.5562111340143
85,-222.10962735547992
86,-129.34110594754668
87,-214.4419835708661
88,-391.8918855823721
89,-889.695077986434
90,-1954.9237323103391
91,-337.0284221356301
92,-467.6022676529484
93,-443.95231892940546
94,-360.1467578431543
95,-1189.9428471212593
96,-862.8253894540064
97,-571.309760351057
98,-833.485710965593
99,-867.0222505662931
100,-255.51047605853833
101,-1430.8000167328855
102,-265.9499464628504
103,-1891.9321940551956
104,-332.6751420472291
105,-269.2933257432566
106,-663.7678910481357
107,-656.3918805769683
108,-343.07428734658527
109,-303.9087448819763
110,-163.92911188530832
111,-1304.655777100419
112,-156.84165720131972
113,-304.42070312026686
114,-205.9485344665828
115,-299.8724504985596
116,-673.654312313379
117,-906.2086233645571
118,-272.5580992718799
