,0
0,-677.9355165270877
1,-153.57334176157164
2,-460.2386331113969
3,-1701.9970981819638
4,-633.749441188689
5,-992.5761782924901
6,-699.5715141854353
7,-293.5510428399698
8,-828.3562615139435
9,-420.7548645736967
10,-806.154649204038
11,-772.9033231142598
12,-617.917009678401
13,-2636.464519018671
14,-577.0172671604494
15,-711.7550880881463
16,-716.5675354491755
17,-601.993479339954
18,-325.4485723879923
19,-1026.0330039955359
20,-229.61765459840433
21,-678.3034707249485
22,-263.7171119019898
23,-2338.398486443508
24,-277.46413772481634
25,-632.3638611317665
26,-4421.737227847266
27,-943.2991592026633
28,-303.895678789695
29,-838.210303661339
30,-2353.1498619805398
31,-682.4972558170383
32,-344.97281504868016
33,-1068.9007650917008
34,-2250.185796211495
35,-481.3387901986791
36,-1040.7823129864441
37,-910.8746858226775
38,-915.5402085148289
39,-278.1126012947353
40,-305.5158366874524
41,-2100.475722461099
42,-451.87704442242847
43,-1013.1994522109775
44,-242.71758804000712
45,-2246.3340309107434
46,-569.9075015309706
47,-617.6757257708014
48,-450.55925492616313
49,-603.8274241062303
50,-570.7274995055161
51,-137.04113199182973
52,-52943.8548688705
53,-28391.994342605976
54,-90.18971141107454
55,-143.05188865788733
56,-492.5141416779854
57,-340.68133324824
58,-160.07775132787845
59,-266.11292528229865
60,-946.2694063503623
61,-171.48490762919957
62,-335.9956687068742
63,-124.5559283227812
64,-78.26229959297606
65,-469.56268723097287
66,-440.50200383564743
67,-380.8799715795116
68,-253.2623698494641
69,-286.6944717244033
70,-226.44055785461038
71,-333.3896534615975
72,-323.4789382048112
73,-253.1594389278157
74,-205.42236286617532
75,-100.77258364174929
76,-1459.6495772091048
77,-266.93930120434607
78,-75.58702157800687
79,-329.0503716917958
80,-357.93358667163557
81,-818.639867850985
82,-340.6821693149816
83,-156.1001866318138
84,-99.6114975841266
85,-275.3186519273961
86,-106.36175780942776
87,-460.53126725182074
88,-724.5389239539791
89,-56.22786469170303
90,-491.77042619740513
91,-200.8344134943634
92,-670.191497351266
93,-344.3961584775682
94,-55.061114947557314
95,-1541.1438798932645
96,-403.54446931146714
97,-456.28676405735234
98,-105.01421435983326
99,-152.10059628503114
100,-571.4090019735701
101,-88.18953445260316
102,-78.32436305567204
103,-837.8756764584973
104,-790.6936837644896
105,-51126.917531244
106,-247.24706871253198
107,-915.5096130835607
108,-647.9777038780237
109,-961.3714482755311
110,-677.1987300390272
111,-560.4973211386023
112,-225.13342670985935
113,-570.1578407564157
114,-452.24529410591873
115,-668.8397611248583
116,-610.8354379052067
117,-474.6664937745404
118,-941.8780191149668
119,-476.8319089791835
120,-494.9418558118425
121,-668.3639666330512
122,-1506.7726212001057
123,-947.0630411648754
124,-663.7452975923732
125,-796.239314718191
126,-567.712824502682
127,-342.5827705129492
128,-448.11670407256486
129,-1088.657836673136
130,-949.5259325065476
131,-708.3813408896522
132,-316.5876513872546
133,-1065.2076160804636
134,-1461.9248240497095
135,-395.9475138292083
136,-445.030859205012
137,-798.3776412595931
138,-1301.477321335914
139,-1736.9910627318927
140,-644.5323216943735
141,-1350.1402283931802
142,-770.6660631527236
143,-504.8829436267898
144,-788.4630326064955
145,-509.5194815247032
146,-651.7432712355701
147,-771.8943107822979
148,-610.0320791910042
149,-378.03515215206323
150,-1059.9663006178002
151,-587.1387820295595
152,-326.9151137476065
153,-443.11194790014173
154,-476.3981812396248
155,-589.7590791655551
156,-541.2645200511728
157,-470.83210910651366
158,-805.230760839145
159,-1942.9092711027677
160,-330.1420854775034
161,-339.6885139888434
162,-491.9195143274185
163,-319.84532961596665
164,-1219.1714109527293
