,0
0,-241.11710808733102
1,-992.309402182371
2,-395.4201802096085
3,-982.8119690613944
4,-486.3954802842793
5,-272.92441193742286
6,-586.9125230495747
7,-1189.3369055396859
8,-902.6671675597041
9,-504.9308966684575
10,-1244.6205030328204
11,-461.7349736729427
12,-1033.1991730141172
13,-270.498580449005
14,-1515.757339454688
15,-1294.9178453704892
16,-201.5388676883053
17,-332.54768705334516
18,-272.20674959350276
19,-2575.2218518059544
20,-449.3952339642679
21,-568.2436759788613
22,-422.48016783283157
23,-612.5656720175926
24,-674.6393332403724
25,-302.8309064596171
26,-933.0544942093958
27,-241.3541518366805
28,-1122.554643903524
29,-844.4664768145869
30,-111.53141123980753
31,-1622.2578700975973
32,-146.67237837314818
33,-441.74577227141276
34,-2059.8835011798437
35,-353.5168448911122
36,-567.2321819429828
37,-1371.7799783868259
38,-731.5297875172328
39,-1641.9588619168221
40,-143.56505905187575
41,-2033.1113713566906
42,-1813.063158883715
43,-454.92299552310624
44,-1850.9278793397693
45,-2408.197262455345
46,-654.5619268787087
47,-1813.92204190436
48,-276.62290190116744
49,-495.1901933011228
50,-7265.265125540631
51,-3725.084160053076
52,-21986.829305557825
53,-11924.847486754523
54,-1123.2874995846678
55,-22102.473412835836
56,-10519.178250152974
57,-18805.509630644505
58,-187.7622473296228
59,-19203.655768836445
60,-6305.792517747226
61,-18207.572394768213
62,-15848.088555122971
63,-4734.066332575214
64,-5510.768338869921
65,-10419.38951583895
66,-2884.6285506288614
67,-15381.894403102391
68,-3957.4054927015072
69,-42298.17485991982
70,-7649.044002480677
71,-267.8265730081341
72,-251.64968016731007
73,-317.4877840785625
74,-439.6156974796454
75,-927.662356016278
76,-888.6734109604553
77,-608.9037002912835
78,-703.6942193452854
79,-417.6503454878462
80,-2035.6300210382728
81,-606.8138523580161
82,-596.8507301641993
83,-735.7694437844316
84,-6589.822964744862
85,-624.5209800155385
86,-737.3880516697546
87,-1185.488777180486
88,-512.6672939078737
89,-2571.399340141221
90,-559.0434285861932
91,-642.9547006731856
92,-1294.3563761281575
93,-498.0607964812339
94,-672.4281830858952
95,-1685.8636943014694
96,-1142.5765581214098
97,-204.24438852885095
98,-1698.4585650274253
99,-1320.3812659918876
100,-494.06461205129693
101,-291.1398897785115
102,-303.92968770086816
103,-480.71784673327954
104,-164.36633857847804
105,-991.3471552901906
106,-199.5819348778572
107,-179.0187242345049
108,-225.67717310523466
109,-693.5290355158972
110,-483.9202528192151
111,-7718.078935812417
112,-772.7554779158836
113,-214.4790398258387
114,-1846.8057651243064
115,-475.2624797423244
116,-38.82346443523652
117,-287.97190789186743
118,-97.77722778850226
119,-252.2900120339071
120,-126.22537412934
121,-1131.167441891498
122,-615.044096043009
123,-555.2033138500477
124,-574.0325228451137
125,-133.2688012732844
126,-175.63237119596286
127,-297.0670342622128
128,-3173.4772812308643
129,-316.8296255521868
130,-105.17888053955066
131,-113.8210318632108
132,-122.53596618544033
133,-75.39646234990958
134,-339.126834901286
135,-110.20136442796473
136,-765.623026031366
137,-1067.1620540877711
138,-106.70982024190955
139,-263.28382906102405
140,-237.58772691812135
141,-91.61705394672565
142,-1645.8938631759165
143,-185.18470501597466
144,-443.7916194554032
145,-156.9874829849271
146,-2587.1776362573823
147,-242.27172558485407
148,-144.17144997072108
149,-337.67384417126766
150,-138.2941993352331
151,-137.46739053956253
152,-395.9090477947218
153,-307.481904126124
154,-300.11063195087826
155,-213.7763078749373
156,-718.1699705872051
157,-2050.8620157324112
158,-667.6625037895785
159,-136.5973094995278
160,-699.2563319329524
161,-1033.8640645679002
162,-306.04546627248
163,-147.40190735156966
164,-91.56057509254157
165,-50.89919453063753
166,-297.2620486632319
167,-191.60404928013088
168,-337.6895757510746
169,-245.89977742217854
170,-196.21462135620052
171,-135.02767841741172
172,-385.33931420612544
173,-129.70986991547056
174,-90.23176773599252
175,-794.8689959108042
176,-288.83881542728386
177,-262.54744028933106
178,-884.563315466518
179,-1290.6821960734098
180,-904.3400401994556
181,-433.96172339467677
182,-459.7114116017764
183,-280.9982004629516
184,-680.3773710791381
185,-104.60587932872313
186,-253.30245882012585
187,-467.4896967370695
188,-422.0629601545276
189,-212.4700836540049
190,-307.5215387206209
191,-748.0113507696134
192,-559.0485178334052
193,-555.1884006282025
194,-397.0744370067606
195,-1204.2201825196917
196,-392.09153006147267
197,-275.3275713734293
198,-279.6523453310482
199,-177.13114590226513
200,-136.25189477826777
201,-236.739849075819
202,-486.7339901435979
203,-912.659516974426
204,-259.6300470631377
205,-1558.0696946022417
206,-662.6574151080742
207,-1790.632449858704
208,-393.28546596648374
209,-336.0651918051309
210,-322.72992906570886
211,-221.0356657791965
212,-190.2083559521684
213,-558.3252523849269
214,-148.04370033609575
215,-322.6056342734197
216,-577.7646346386009
217,-204.07495376459008
218,-718.0309873010187
219,-681.592675161236
220,-336.5111154927562
221,-367.84385982713763
222,-698.674080897403
223,-274.49618248955096
224,-58.25696161787887
225,-144.43989560706063
226,-200.49211973711868
227,-117.35367875968024
228,-82.51934836367211
229,-330.17012344811087
230,-162.03020097486456
231,-659.1175591829709
232,-703.7384549904177
233,-144.87638634093895
234,-229.89571902752868
235,-1443.8409559735755
236,-1088.5428579491615
237,-159.65490305222704
238,-268.39252903845477
239,-95.31379179459385
240,-660.4501446027336
241,-282.02705511878565
242,-177.8657311607958
243,-82.49633297083358
244,-636.2160519336765
245,-202.83239781454705
246,-798.4960821147337
247,-363.73490833678136
248,-382.0421174098349
249,-438.8675290614973
250,-131.94728649693633
251,-205.65786520558652
252,-51.25246008631391
253,-519.105830978744
254,-214.4898091225682
255,-146.85701536161457
256,-451.92897263041516
257,-453.53660104799707
258,-107.45053533485395
259,-327.2767406252788
260,-334.5504737309354
261,-485.0294637257649
262,-508.50217324128965
263,-216.74373161029598
264,-397.2390806670637
265,-99.1271007383432
266,-588.0273890029421
267,-473.0768156376974
268,-378.99957493173633
269,-153.50230099275683
270,-224.0849662398378
271,-502.6841358809137
272,-186.18178193331272
273,-543.4783120964105
274,-177.4628928268367
275,-754.6872796368605
276,-294.0071851400002
277,-192.92725157119781
278,-151.45115197087463
279,-220.37871957546037
280,-672.3371773693254
281,-194.86057489961541
282,-195.31826997074683
283,-118.32038632794422
284,-159.74319242456147
285,-605.8020018539188
286,-168.14987609483353
287,-161.0528784858387
288,-284.14396064773564
289,-187.9509133295167
290,-259.6508353466086
291,-99.8223795902457
292,-695.8267512577158
293,-295.6787586321851
294,-398.97923932828746
295,-177.5431626507472
296,-200.62428904195804
297,-163.96997596155256
298,-140.57486545313844
299,-160.30305257757945
300,-172.19191180300658
301,-561.4097337291697
302,-122.3039969338761
303,-160.47821967856822
304,-452.0358359386761
305,-439.7355210674699
306,-234.65490485929328
307,-206.4204254723076
308,-124.0001531101303
309,-131.2158179146603
310,-122.53651977184563
311,-156.37273575265698
312,-504.42689319211553
313,-219.65203032316998
314,-244.88560030929068
315,-165.07841851447446
316,-300.8490768290668
317,-67.66908297483678
318,-97.87310739856125
319,-130.43952864009566
320,-161.36248029565525
321,-174.96646565935725
322,-264.23309897171816
323,-137.99809984508408
