,0
0,-2295.778555530363
1,-2161.8332822186085
2,-2175.547808766868
3,-1973.6065748707708
4,-2761.2188239627953
5,-2643.582167514434
6,-1806.875087094851
7,-2087.294848749949
8,-1594.9808496360597
9,-2696.6824291912203
10,-2927.290252292778
11,-3741.1516200539268
12,-4568.647427130536
13,-2508.1260177521153
14,-1975.6834803185761
15,-3110.0478879744833
16,-2598.0312164275283
17,-2200.043099068972
18,-2920.9798189207263
19,-1653.9046406007537
20,-2827.9092262679064
21,-2141.2554131115558
22,-1981.8857437592787
23,-3007.1128534749105
24,-2928.9597070965438
25,-3603.8968809790686
26,-2618.2695956860366
27,-2630.081305605714
28,-1830.7567733723902
29,-2986.970339643379
30,-2564.5650502532308
31,-2142.3720070765685
32,-2739.572356478645
33,-3428.677477395423
34,-2709.68885233089
35,-3067.945055952796
36,-1970.7682227831383
37,-2131.6287591825635
38,-2595.8938775866086
39,-2170.0695348232102
40,-3517.980277658051
41,-2014.7368836993694
42,-2869.047807059244
43,-3231.9563738672414
44,-2479.083991963367
45,-3876.040968587763
46,-3713.6809289978933
47,-3195.66199829791
48,-2036.7101722294433
49,-2077.115991057724
50,-1953.9101596531766
51,-2745.238728384361
52,-2730.549810671142
53,-2290.9221017320256
54,-4946.39838254621
55,-4078.1379317807978
56,-2794.3686686427545
57,-3553.0451031747616
58,-3301.018351697308
59,-5293.6621259292715
60,-23638.441343329578
61,-24387.702711890888
62,-27581.598006517266
63,-24455.19677438636
64,-25015.04142229466
65,-11175.927785576754
66,-25317.5606635699
67,-23948.794190762565
68,-27322.861228668982
69,-25836.92442532156
70,-25724.805609018684
71,-24690.683778628412
72,-25491.651250049894
73,-4255.399297401052
74,-2743.8455221999643
75,-2945.5889762721245
76,-1860.7857486458952
77,-2653.6499675722416
78,-3048.5292979666747
79,-1728.7136479442233
80,-1824.2043294895464
81,-1483.2687922978018
82,-2076.758638394
83,-1799.9852029284157
84,-2192.269427101554
85,-2341.1558322269675
86,-2009.4242098819777
87,-2188.659998178591
88,-2059.894076154895
89,-2170.9219800809424
90,-1618.3707281350214
91,-2703.0207247829803
92,-2531.594643535098
93,-1719.7980494653023
94,-2100.070393113139
95,-1629.9858424031322
96,-1824.0268268128275
97,-2101.1953128486107
98,-2141.0456227537784
99,-1869.5342074033033
100,-2095.4227557146396
101,-2402.413478292625
102,-2194.1853215068195
103,-1717.0050611561996
104,-1595.6760551107282
105,-2184.5876336641013
106,-1701.0891554531265
107,-1677.8411536589092
108,-1896.055302147576
109,-1808.3754578341568
110,-1359.5895191677687
111,-2196.237033615212
112,-1903.6496167756013
113,-1915.2054338838548
114,-1259.6025958701043
115,-2177.2017879093746
116,-2209.7201359863943
117,-2252.4242903489912
118,-1872.6131884413257
119,-1494.6466717438761
120,-2733.892880814464
121,-2257.621287880201
122,-2226.564234906772
123,-1789.1941093980963
124,-2472.8899175324204
125,-2255.2182708082073
126,-2359.0880923924283
127,-2466.532219180905
128,-3911.8781442598697
129,-3171.17350777388
130,-3532.7810112272946
131,-3060.902263600344
132,-2371.2097526231623
133,-2290.945733472022
134,-2721.216919067595
135,-3099.7361661091063
136,-3380.754805229309
137,-2010.12196745089
138,-2681.5226031425086
139,-2258.1029599399435
140,-1976.1043044665323
141,-1955.7860811285343
142,-1676.3566322405459
143,-2590.7583771196896
144,-2120.621695721786
145,-2276.8576593247963
146,-2078.981331876019
147,-1772.5872508920588
148,-2104.751301019167
149,-3094.7653960438593
150,-3086.992228983095
151,-2385.9716180784453
152,-2322.2010937971886
153,-2818.3149272701858
154,-2348.6101810534938
155,-2514.3941906214254
156,-2858.578740851043
157,-2325.7655713413874
158,-2811.449290459622
159,-5632.105574210756
160,-2449.3790293437314
161,-3183.9713291921266
162,-3042.0533332169866
163,-1845.9934109600777
164,-3123.9236647427124
165,-1585.8950911768152
166,-2819.735346552249
167,-5823.659391894848
168,-3464.9617658841717
169,-3144.1926754868477
170,-3157.3977164413964
171,-4534.75895541586
172,-3539.479435485506
173,-4446.009860424891
174,-3711.5561124498618
175,-4312.928622757964
176,-8858.71083074803
177,-2279.338042839243
178,-1875.435568381746
179,-3955.6973360460624
180,-3898.59143486236
181,-5013.587415635228
182,-3287.5853090016435
183,-6137.792758890093
184,-2780.6769160170384
185,-1313.7577134449461
186,-3791.7395992905012
187,-4721.849131752516
188,-3434.43908714423
189,-2430.669025018996
190,-6798.00845611799
191,-2047.2809391494116
192,-2633.4423964762273
193,-1833.654490300122
194,-3631.5641209240025
195,-2259.906826672468
196,-2140.863670369882
197,-2013.6023376743578
198,-3132.2458182667915
199,-2872.2933435675536
200,-1834.3302831684134
201,-3006.68342815792
202,-3199.877689978252
203,-3166.6526784255966
204,-2739.526972092234
205,-2998.8225181642765
206,-4090.9371640382496
207,-2219.211728491829
208,-1941.3245901940115
209,-2379.913440704703
210,-3060.081224018426
211,-2558.6537229170917
212,-2375.9580356950455
213,-2635.3108073942267
214,-2013.716716069615
215,-2437.354229079778
216,-2795.054192652071
217,-2855.223194981234
218,-3338.4972676876123
219,-2136.0791662850024
220,-2803.2454666070516
221,-2531.080083132871
222,-1755.4605999960227
223,-2758.3594375894386
224,-2921.212639935337
225,-3732.4141856134183
226,-3962.1901296995975
227,-3750.346251984898
228,-3633.447795972646
229,-4492.030104958733
230,-3579.4898606575316
231,-2516.813422776156
232,-1596.013168095712
233,-1838.3047007972957
234,-2416.8895385753804
235,-2902.599440554587
236,-3907.540898366217
237,-2899.5479270319606
238,-4583.632540700827
239,-2652.3424527323396
240,-1671.761872768273
241,-2866.3713835481312
242,-3663.501972440782
243,-2775.4560398096046
244,-3797.723012056028
245,-4035.865774142657
246,-4162.967005167409
247,-4571.484940283681
248,-3109.989070999695
249,-4620.001720831224
250,-4317.555438815528
251,-4748.145271632337
252,-2562.379217756067
253,-3795.5357332070466
254,-3341.0175994802144
255,-4638.681109970488
256,-5313.4197628575275
257,-12832.524770916043
258,-11492.877469427338
259,-11501.962920853086
260,-3897.356422517749
261,-8317.853529902804
262,-2000.0409087267915
263,-11066.919091497271
264,-8838.68252513155
265,-12400.376290050468
266,-21353.661306526723
267,-16732.39494724292
268,-14963.136061130364
269,-9085.416656961615
270,-2462.678688656638
271,-1650.4418246948576
272,-2835.9655898757724
273,-2972.21752642525
274,-2554.28024177253
275,-3411.2684667287135
276,-3469.323393734391
277,-2571.3212036192426
278,-2450.0880059986566
279,-3270.0724527697103
280,-2441.078231841583
281,-2929.9426262661805
282,-2771.1182036366736
283,-3650.083937146339
284,-4441.563126433728
285,-1985.187144623082
286,-2667.714176835868
287,-2879.120789694691
288,-2963.046708126507
289,-2491.5722010278787
290,-4221.192057978115
291,-3376.374342562222
292,-4184.004654004368
293,-3392.6453977784395
294,-20062.88409275381
295,-3047.8768155128064
296,-2517.356346376656
297,-2704.3472341315655
298,-3696.774115552785
299,-3142.7420649704122
300,-2540.645943824734
301,-2771.501150858002
302,-2791.3255138263758
303,-2930.6408760118316
304,-4396.207866810758
305,-3172.970147057518
306,-2410.885367439902
307,-2240.00580476938
308,-4611.767253270532
309,-3249.921160189027
310,-2207.9219723114193
311,-2433.351806686266
312,-2620.5763353598923
313,-2510.7438894807037
314,-2932.430729742273
315,-2699.8466652860216
316,-1894.7943355057953
317,-4111.416070077965
318,-3497.8517530721765
319,-3663.3132499885887
320,-3570.9882469028435
321,-2197.913052849866
322,-3095.8678117434624
323,-1542.416276303963
324,-2826.444726063005
325,-2041.006128657753
326,-2175.59110041353
327,-3668.9286818834835
328,-3333.1177875691583
329,-10156.054775131257
330,-3406.1600502112224
331,-2641.5035398649916
332,-2091.3182997094073
333,-5510.193708720571
334,-2493.6041277590657
335,-2309.1535567519504
336,-2866.433157805037
337,-3755.646140591386
338,-3482.7535120799585
339,-5762.767026257647
340,-5217.973287403345
341,-2414.417618972209
342,-3067.3987729132277
343,-3276.0013705723395
344,-3802.1378450758098
345,-2565.645876885953
346,-2232.4323941427137
347,-2878.7925101739665
348,-3046.6402124227466
349,-2659.7421419617094
350,-4738.739957620132
351,-3456.2673920227844
352,-2439.4482290568385
353,-2089.9060619322627
354,-2219.1384851236
355,-4052.2030219913827
356,-2228.281496225163
357,-2939.0344368127285
358,-2579.4941019418184
359,-2817.1380034254
360,-2417.9519792213378
361,-4087.6830376073976
362,-3171.847187325368
363,-4420.898662363899
364,-2326.097693862085
365,-2770.3494177308285
366,-9374.876406573148
367,-2287.164402376681
368,-14203.971346348126
369,-3262.9176893637614
370,-3628.080137268128
371,-3432.7987584512484
372,-2657.434466744021
373,-2038.5839798093357
374,-2386.5100108725187
375,-2674.8683001730124
376,-2343.5818115913194
377,-2262.6026625737372
378,-2749.778052011203
379,-3047.131576896627
380,-3273.5285327053643
381,-2368.5584595561195
382,-3016.0347313810926
383,-11262.917067890015
384,-4194.048002173937
385,-2739.526232995754
386,-2812.626881588321
387,-3220.9234824987857
388,-2586.3622610338743
389,-3139.8704144299536
390,-2568.683734731378
391,-2560.94348656873
392,-3255.9129688163753
393,-3378.022523899437
394,-2437.5057058011134
395,-2492.256422614659
396,-2292.537588928104
397,-3240.0483416065154
398,-2270.3727730354294
399,-3218.9909389527193
400,-1693.528269882385
401,-2072.008392127219
402,-2552.0970259604474
403,-2142.8929130172055
404,-2818.462617768237
405,-2932.603870847257
406,-2385.865945388685
407,-2638.5266700615557
408,-3281.1005110999686
409,-2707.8514286095706
410,-3269.6443929927273
411,-2958.9340478661393
412,-3317.662662545789
413,-2723.1926321227156
414,-2399.1242312070544
415,-3451.359749237503
416,-3098.601970001058
417,-1852.6595980176435
418,-2226.670189761693
419,-3176.523182080866
420,-2023.1191141317745
421,-2134.4558287904324
422,-3352.5405498000637
423,-2163.91786306036
424,-2525.2138208231763
425,-2463.7048891895806
426,-2751.664832770932
427,-2037.598995405131
428,-1956.1671938238014
429,-1601.0054311136698
430,-2975.113074157195
431,-2547.450727537759
432,-2798.257227278552
433,-2871.595279635224
434,-2269.0672567532038
435,-2291.300291481512
436,-2914.7009514962165
437,-1993.1761722305603
438,-1891.5773389100157
439,-4249.496091958708
440,-2790.079231478019
441,-2234.308598533053
442,-1803.5409541613612
443,-2753.964646212416
444,-2351.0412662589624
445,-1899.46908954569
446,-2460.711627366985
447,-2602.169513075413
448,-2319.0906192171883
449,-3105.4793379309044
450,-2279.707351692878
451,-2139.785423069938
452,-2428.8049684196267
453,-2085.4931929270115
454,-2385.3135439067437
455,-2395.0840692969205
456,-2856.2769439521976
457,-2070.326322065658
458,-2166.2090353180056
459,-2131.225626867372
460,-2716.637590275741
461,-2343.5670217020784
462,-2506.239983347053
463,-2790.1773769721867
464,-2829.4492026514254
465,-2665.647321152475
466,-2189.2553909125068
467,-3263.650582904369
468,-2341.7125168860234
469,-3242.0778364804273
470,-2492.4560209226506
471,-2169.6888440685416
472,-2366.8966410245384
473,-2182.1554818259424
474,-3008.106549512484
475,-2367.85290371083
476,-1909.8940109576583
477,-2389.7151174029045
478,-3106.6118015102234
479,-2797.8272959178494
480,-2238.8043711946357
481,-1839.548667006511
482,-2066.6968969331233
483,-2292.714709335252
484,-2422.253051553161
485,-2248.5395598187374
486,-2509.4482371998106
487,-1970.2130536324098
488,-2240.172698915865
489,-3150.933888352425
490,-1903.3327427680827
491,-2015.3976359861795
492,-2263.913107910633
493,-2632.982070992634
494,-1791.5019864738624
495,-2558.892828563162
496,-2500.538126233472
497,-2147.19493444924
